# ;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;;;;;;;;;;;X
#LANGUAGE;;;;;;;;;;;X
#########################################;;;;;;;;;;;X
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X
#########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
NAME_NAVAL_ASW_DEPRECATED;ASW;Lutte anti sous-marine;Anti-Sommergibile;GAS;UAW;Zwalcz. okr. podw.;ASW;ÏËÎ;;;X
NAME_NAVAL_ANTI_AIR_S_DEPRECATED;Anti-air;Défense anti aérienne;Anti-Aerea;Antiaérea;Flugabwehrkanonen;Obr. przeciwlot.;Defesa Antiaérea;ÏÂÎ;;;X
NAME_NAVAL_RADAR_S_DEPRECATED;Radar;Radar;Radar;Radar;Radar;Radar;Radar;ĞËÑ;;;X
NAME_NAVAL_FIRE_CONTROLL_S_DEPRECATED;Fire Control;Système de visée;Centrale di Tiro;Control de tiro;Feuerleitanlage;Kontrola ognia;Controle de tiro;ÑÓÎ;;;X
NAME_NAVAL_IMPROVED_HULL_S_DEPRECATED;Improved Hull;Coque améliorée;Scafo migliorato;Casco mejorado;Verbesserter Rumpf;Ulepszony kad³ub;Casco aprimorado;Óëó÷ø. êîğïóñ;;;X
NAME_NAVAL_TORPEDOES_S_DEPRECATED;Torpedoes;Torpilles;Siluri;Torpedos;Torpedos;Torpedy;Torpedos;Òîğïåäû;;;X
NAME_NAVAL_ANTI_AIR_L_DEPRECATED;Capital Anti-air;Défense anti aérienne de navire amiral;Anti-Aerea per navi maggiori;Antiaéreos de gran unidad;Flugabwehrkanonen für Großkampfschiff;Obrona przeciwlot. wielkiej floty;Defesa AA (Navio de grande porte);ÏÂÎ êğóïí. êîğàáëåé;;;X
NAME_NAVAL_RADAR_L_DEPRECATED;Capital Radar;Radar de navire amiral;Radar per navi maggiori;Radar de gran unidad;Radar für Großkampfschiff;Radar wielkiej floty;Radar (Navio de grande porte);ĞËÑ;;;X
NAME_NAVAL_FIRE_CONTROLL_L_DEPRECATED;Capital Fire Control;Système de visée de navire amiral;Centrale di Tiro per navi maggiori;Control de tiro de gran unidad;Feuerleitanlage für Großkampfschiff;Kontrola ognia wielkiej floty;Controle de tiro (Navio de grande porte);ÑÓÎ êğóïí. êîğàáëåé;;;X
NAME_NAVAL_IMPROVED_HULL_L_DEPRECATED;Capital Improved Hull;Coque améliorée de navire amiral;Scafo migliorato per navi maggiori;Casco mejorado de gran unidad;Verbesserter Rumpf für Großkampfschiff;Ulepszony kad³ub wielkiej floty;Casco aprimorado (Navio de grande porte);Óëó÷ø. êîğïóñ êğóïí. êîğàáëåé;;;X
NAME_NAVAL_TORPEDOES_L_DEPRECATED;Floatplanes;Torpilles de navire amiral;Siluri per navi maggiori;Torpedos de gran unidad;Torpedos für Großkampfschiff;Torpedy wielkiej floty;Torpedos (Navio de grande porte);Òîğïåäû êğóïí. êîğàáëåé;;;X
SNAME_NAVAL_ASW_DEPRECATED;ASW;ASM;ASM;GAS;UAW;ZOP;ASW;ÏËÎ;;;X
SNAME_NAVAL_ANTI_AIR_S_DEPRECATED;S-AA;DCA;AA;AA;Fl.Abw.;P-lot.;AA;ÏÂÎ;;;X
SNAME_NAVAL_RADAR_S_DEPRECATED;S-RA;Radar;Radar;RA;Radar;Radar;RA;ĞËÑ;;;X
SNAME_NAVAL_FIRE_CONTROLL_S_DEPRECATED;S-FC;Sys. visée;Cen. Tiro;CT;FLA;K. ognia;CT;ÑÓÎ;;;X
