Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bakker;7800;HOL;1938;1942;1990;1990;2;4;0;1;0;5;0;L7800;1938;1960;1999;x
Berenschot;7801;HOL;1930;1938;1990;1990;2;3;2;1;0;5;0;L7801;1930;1960;1999;x
Boerstra;7802;HOL;1930;1930;1990;1990;2;4;1;0;0;4;0;L7802;1930;1945;1999;x
Carstens;7803;HOL;1938;1990;1990;1990;3;3;64;0;0;3;0;L7803;1938;1942;1999;x
Cox;7804;HOL;1940;1990;1990;1990;3;5;5;0;0;5;0;L7804;1940;1960;1999;x
Dames;7805;HOL;1939;1990;1990;1990;3;3;0;0;0;3;0;L7805;1939;1960;1999;x
de Bruyne;7806;HOL;1942;1990;1990;1990;3;5;256;0;0;5;0;L7806;1942;1960;1999;x
de Jonge van Ellemeet;7807;HOL;1930;1939;1990;1990;3;3;0;1;0;4;0;L7807;1930;1960;1999;x
Dijxhoorn;7808;HOL;1940;1990;1990;1990;3;3;0;0;0;3;0;L7808;1940;1960;1999;x
Hackstroh;7809;HOL;1930;1990;1990;1990;3;3;0;0;0;3;0;L7809;1930;1960;1999;x
Harberts;7810;HOL;1930;1938;1990;1990;2;5;516;1;0;4;0;L7810;1930;1947;1999;x
Hasselman;7811;HOL;1938;1941;1990;1990;3;4;1;1;0;5;0;L7811;1938;1943;1999;x
Ilgen;7812;HOL;1930;1943;1990;1990;3;5;16;1;0;3;0;L7812;1930;1960;1999;x
Overakker;7813;HOL;1938;1940;1990;1990;2;3;64;1;0;5;0;L7813;1938;1945;1999;x
Pesman;7814;HOL;1930;1990;1990;1990;3;4;128;0;0;5;0;L7814;1930;1960;1999;x
Reynders;7815;HOL;1930;1930;1939;1990;1;5;0;2;0;5;0;L7815;1930;1940;1999;x
Seyffardt;7816;HOL;1930;1930;1990;1990;2;5;513;1;0;2;0;L7816;1930;1960;1999;x
Spoor;7817;HOL;1942;1945;1990;1990;3;5;1;1;0;5;0;L7817;1942;1960;1999;x
Statius-Muller;7818;HOL;1930;1990;1990;1990;3;5;33;0;0;5;0;L7818;1930;1960;1999;x
ter Poorten;7819;HOL;1930;1938;1939;1990;1;5;65;2;0;5;0;L7819;1930;1960;1999;x
van den Bent;7820;HOL;1938;1940;1946;1990;2;4;0;2;0;5;0;L7820;1938;1960;1999;x
van Lawick;7821;HOL;1937;1939;1990;1990;2;5;16;1;0;4;0;L7821;1937;1945;1999;x
van Oyen;7822;HOL;1943;1990;1990;1990;3;3;0;0;0;5;0;L7822;1943;1960;1999;x
van Straaten;7823;HOL;1938;1990;1990;1990;3;5;0;0;0;5;0;L7823;1938;1960;1999;x
van Voorst tot Voorst  H.;7824;HOL;1930;1938;1990;1990;2;4;32;1;0;4;0;L7824;1930;1945;1999;x
van Voorst tot Voorst  J.;7825;HOL;1930;1937;1939;1990;1;5;16;2;0;5;0;L7825;1930;1960;1999;x
von Geusau;7826;HOL;1930;1939;1990;1990;3;3;64;1;0;4;0;L7826;1930;1940;1999;x
Winkelman;7827;HOL;1930;1930;1939;1990;1;4;0;2;0;5;0;L7827;1930;1945;1999;x
Winkvoor;7828;HOL;1940;1942;1944;1990;2;3;0;2;0;5;0;L7828;1940;1960;1999;x
Bax;7829;HOL;1944;1990;1990;1990;3;3;0;0;0;5;1;L7829;1944;1960;1999;x
Brakema;7830;HOL;1939;1990;1990;1990;3;3;0;0;0;5;1;L7830;1939;1960;1999;x
Brouwer;7831;HOL;1938;1941;1990;1990;2;3;0;1;0;5;1;L7831;1938;1946;1999;x
Bussemaker;7832;HOL;1940;1990;1990;1990;3;5;1024;0;0;5;1;L7832;1940;1960;1999;x
Capel;7833;HOL;1943;1990;1990;1990;3;3;8192;0;0;5;1;L7833;1943;1960;1999;x
Chömpff;7834;HOL;1930;1990;1990;1990;3;5;8192;0;0;5;1;L7834;1930;1942;1999;x
de Booy;7835;HOL;1942;1990;1990;1990;3;3;0;0;0;5;1;L7835;1942;1960;1999;x
Doorman;7836;HOL;1940;1944;1990;1990;2;5;0;1;0;4;1;L7836;1940;1960;1999;x
Dulm;7837;HOL;1939;1990;1990;1990;3;4;4096;0;0;5;1;L7837;1939;1944;1999;x
Furstner;7838;HOL;1930;1937;1942;1990;1;6;2560;2;0;5;1;L7838;1930;1960;1999;x
Helfrich;7839;HOL;1930;1940;1990;1990;2;3;0;1;0;4;1;L7839;1930;1942;1999;x
Hellingman;7840;HOL;1945;1990;1990;1990;3;3;0;0;0;5;1;L7840;1945;1960;1999;x
Jolles;7841;HOL;1938;1990;1990;1990;3;5;8704;0;0;5;1;L7841;1938;1960;1999;x
Koenraad;7842;HOL;1944;1990;1990;1990;3;3;0;0;0;5;1;L7842;1944;1960;1999;x
Larive;7843;HOL;1941;1943;1990;1990;2;3;0;1;0;5;1;L7843;1941;1960;1999;x
Lier;7844;HOL;1930;1990;1990;1990;3;3;2048;0;0;5;1;L7844;1930;1960;1999;x
Looze;7845;HOL;1942;1990;1990;1990;3;3;0;0;0;5;1;L7845;1942;1960;1999;x
Ort;7846;HOL;1940;1990;1990;1990;3;3;0;0;0;5;1;L7846;1940;1945;1999;x
Quint;7847;HOL;1943;1990;1990;1990;3;4;1024;0;0;5;1;L7847;1943;1960;1999;x
Straelen;7848;HOL;1942;1990;1990;1990;3;5;0;0;0;5;1;L7848;1942;1960;1999;x
Termijtelen;7849;HOL;1941;1943;1990;1990;2;3;0;1;0;5;1;L7849;1941;1960;1999;x
van Asbeck;7850;HOL;1939;1943;1990;1990;2;5;2048;1;0;5;1;L7850;1939;1946;1999;x
van Boetzelaer;7851;HOL;1942;1990;1990;1990;3;3;1024;1;0;5;1;L7851;1942;1960;1999;x
Best;7852;HOL;1937;1939;1990;1990;2;4;0;1;0;4;2;L7852;1937;1940;1999;x
de Jonge van Ellemeet;7853;HOL;1930;1939;1990;1990;2;4;0;1;0;4;2;L7853;1930;1960;1999;x
Douw van der Krap;7854;HOL;1942;1990;1990;1990;3;3;131072;0;0;3;2;L7854;1942;1960;1999;x
Godefroy;7855;HOL;1942;1990;1990;1990;3;3;4096;0;0;5;2;L7855;1942;1960;1999;x
Mulder;7856;HOL;1944;1990;1990;1990;3;3;0;0;0;5;2;L7856;1944;1947;1999;x
