Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bardolff;2700;AUS;1930;1930;1990;1990;2;5;516;1;0;3;0;L2700;1930;1960;1999;x
Barger;2701;AUS;1930;1940;1990;1990;3;4;0;1;0;4;0;L2701;1930;1960;1999;x
Bassler;2702;AUS;1930;1939;1990;1990;2;4;1;1;0;5;0;L2702;1930;1941;1999;x
Beyer;2703;AUS;1930;1930;1930;1990;1;6;528;2;0;4;0;L2703;1930;1960;1999;x
Bornemann;2704;AUS;1930;1941;1990;1990;3;5;0;1;0;4;0;L2704;1930;1960;1999;x
Britzelmayr;2705;AUS;1944;1990;1990;1990;3;4;0;0;0;2;0;L2705;1944;1960;1999;x
Eglseer;2706;AUS;1930;1990;1990;1990;3;5;256;1;0;3;0;L2706;1930;1960;1999;x
Eppich;2707;AUS;1930;1990;1990;1990;3;5;256;0;0;5;0;L2707;1930;1960;1999;x
Ernst;2708;AUS;1930;1930;1939;1990;2;7;513;1;0;5;0;L2708;1930;1941;1999;x
Feurstein;2709;AUS;1930;1930;1990;1990;2;5;256;1;0;4;0;L2709;1930;1960;1999;x
Gebauer;2710;AUS;1930;1930;1930;1990;1;4;513;1;0;5;0;L2710;1930;1940;1999;x
Glaise-Horstenau;2711;AUS;1930;1930;1990;1990;2;3;0;0;0;3;0;L2711;1930;1960;1999;x
Gräser;2712;AUS;1939;1990;1990;1990;3;5;0;0;0;5;0;L2712;1939;1960;1999;x
Hammer;2713;AUS;1930;1990;1990;1990;3;4;32;0;0;5;0;L2713;1930;1960;1999;x
Haselmayr;2714;AUS;1930;1990;1990;1990;3;5;12;0;0;3;0;L2714;1930;1960;1999;x
Hickmann;2715;AUS;1930;1939;1944;1990;2;5;32;2;0;4;0;L2715;1930;1960;1999;x
Kienbauer;2716;AUS;1930;1990;1990;1990;3;4;0;0;0;4;0;L2716;1930;1960;1999;x
Kotik;2717;AUS;1930;1930;1939;1990;2;3;513;1;0;3;0;L2717;1930;1960;1999;x
Kritek;2718;AUS;1930;1930;1940;1990;2;5;514;1;0;5;0;L2718;1930;1943;1999;x
Kubena;2719;AUS;1930;1930;1943;1945;2;5;0;3;0;4;0;L2719;1930;1960;1999;x
Leitner;2720;AUS;1930;1930;1990;1990;2;3;0;0;0;3;0;L2720;1930;1960;1999;x
Martinek;2721;AUS;1939;1990;1990;1990;3;6;384;1;0;5;0;L2721;1939;1941;1999;x
Materna;2722;AUS;1930;1990;1990;1990;3;4;8;1;0;4;0;L2722;1930;1960;1999;x
Meixner von Zweienstamm;2723;AUS;1930;1930;1938;1990;2;4;528;1;0;4;0;L2723;1930;1941;1999;x
Mickl;2724;AUS;1939;1990;1990;1990;3;5;128;0;0;3;0;L2724;1939;1943;1999;x
Moyses;2725;AUS;1938;1942;1990;1990;3;5;32;1;0;3;0;L2725;1938;1960;1999;x
Pohl;2726;AUS;1930;1943;1990;1990;3;5;0;1;0;4;0;L2726;1930;1960;1999;x
Rendulic;2727;AUS;1930;1990;1990;1990;3;6;128;1;0;2;0;L2727;1930;1960;1999;x
Schaffarz;2728;AUS;1930;1930;1990;1990;2;4;0;0;0;4;0;L2728;1930;1960;1999;x
Schariczer von Rény;2729;AUS;1930;1930;1939;1990;2;5;544;1;0;4;0;L2729;1930;1942;1999;x
Schilhawsky;2730;AUS;1930;1930;1930;1990;1;5;516;1;0;5;0;L2730;1930;1943;1999;x
Schmidt;2731;AUS;1941;1943;1990;1990;2;5;0;1;0;4;0;L2731;1941;1960;1999;x
Schubert;2732;AUS;1930;1990;1990;1990;3;4;0;0;0;5;0;L2732;1930;1960;1999;x
Seebauer;2733;AUS;1942;1945;1990;1990;2;5;128;1;0;5;0;L2733;1942;1960;1999;x
Stümpfl;2734;AUS;1930;1990;1990;1990;3;4;0;0;0;4;0;L2734;1930;1960;1999;x
Towarek;2735;AUS;1941;1990;1990;1990;3;6;64;0;0;5;0;L2735;1941;1960;1999;x
Vaugoin;2736;AUS;1930;1930;1990;1990;2;3;1;0;0;5;0;L2736;1930;1960;1999;x
Vesely;2737;AUS;1930;1990;1990;1990;3;3;0;0;0;5;0;L2737;1930;1960;1999;x
von Brudermann;2738;AUS;1930;1930;1940;1990;2;4;521;2;0;4;0;L2738;1930;1943;1999;x
von Eimannsberger;2739;AUS;1930;1930;1990;1990;2;4;513;1;0;5;0;L2739;1930;1960;1999;x
von Hegedüs;2740;AUS;1940;1943;1990;1990;2;3;2;1;0;4;0;L2740;1940;1960;1999;x
von Hubicki;2741;AUS;1930;1930;1990;1990;2;6;128;2;0;4;0;L2741;1930;1960;1999;x
von Jahn;2742;AUS;1930;1941;1990;1990;2;5;16;1;0;5;0;L2742;1930;1960;1999;x
von Jansa;2743;AUS;1930;1930;1939;1990;1;4;2;1;0;4;0;L2743;1930;1943;1999;x
von Schönburg-Hartenstein;2744;AUS;1930;1930;1940;1990;2;5;576;2;0;5;0;L2744;1930;1941;1999;x
von Waldstätten;2745;AUS;1930;1930;1990;1990;2;5;514;1;0;4;0;L2745;1930;1943;1999;x
von Wittas;2746;AUS;1930;1942;1946;1990;2;5;260;2;0;5;0;L2746;1930;1960;1999;x
Wessely;2747;AUS;1930;1939;1990;1990;2;5;528;2;0;4;0;L2747;1930;1941;1999;x
Zaiser;2748;AUS;1930;1939;1943;1990;2;5;256;2;0;4;0;L2748;1930;1960;1999;x
Zborzil;2749;AUS;1930;1943;1990;1990;3;5;0;1;0;4;0;L2749;1930;1960;1999;x
Zehner;2750;AUS;1930;1930;1930;1930;0;3;2;0;0;5;0;L2750;1930;1960;1999;x
Hickmann;2751;AUS;1939;1990;1990;1990;3;3;0;0;0;4;1;L2751;1930;1960;1999;x
von Brudermann;2752;AUS;1930;1930;1990;1990;2;3;2560;0;0;5;1;L2752;1930;1943;1999;x
von Hegedüs;2753;AUS;1930;1939;1990;1990;2;3;0;1;0;4;1;L2753;1930;1960;1999;x
