Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Zhang Yinwu;55020;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50020;1930;1960;1999;x
Zhao Chengshou;55021;MEN;1930;1930;1990;1990;2;4;0;0;0;4;0;L50021;1930;1960;1999;x
Zhao Jiaxiang;55022;MEN;1937;1990;1990;1990;3;3;0;0;0;4;0;L50022;1930;1960;1999;x
Zhao Xizhang;55023;MEN;1938;1990;1990;1990;3;3;0;0;0;4;0;L50023;1930;1960;1999;x
Zhao Hong Wenguo;55024;MEN;1930;1930;1990;1990;2;3;16;1;0;4;0;L50024;1930;1960;1999;x
Zhao Guoping;55025;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50025;1930;1960;1999;x
Qin Yizhi;55026;MEN;1938;1990;1990;1990;3;3;0;0;0;4;0;L50054;1930;1960;1999;x
Zhou Jiabin;55027;MEN;1937;1990;1990;1990;3;3;0;0;0;4;0;L50055;1930;1960;1999;x
Zhou Zhidao;55028;MEN;1943;1990;1990;1990;3;3;0;0;0;4;0;L50056;1930;1960;1999;x
Han Liancheng;55029;MEN;1943;1945;1990;1990;3;4;0;1;0;1;0;L50088;1930;1960;1999;x
Hao Menglin;55030;MEN;1930;1930;1990;1990;2;3;0;0;0;4;0;L50089;1930;1960;1999;x
He Jifeng;55031;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50090;1930;1960;1999;x
Xu Guozhang;55032;MEN;1938;1990;1990;1990;3;3;128;0;0;4;0;L50109;1930;1960;1999;x
Xu Tingyao;55033;MEN;1939;1941;1990;1990;2;4;32;1;0;4;0;L50110;1930;1960;1999;x
Hu Yibin;55034;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50118;1930;1960;1999;x
Hu Ruoyu;55035;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50119;1930;1960;1999;x
Hu Lian;55036;MEN;1943;1990;1990;1990;3;4;5;0;0;4;0;L50120;1930;1960;1999;x
Hu Su;55037;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50121;1930;1960;1999;x
Hu Zongnan;55038;MEN;1930;1930;1990;1990;2;3;0;0;0;4;0;L50122;1930;1960;1999;x
Hu Ying;55039;MEN;1930;1990;1990;1990;3;3;0;0;0;4;0;L50123;1930;1960;1999;x
Li Yannian;55040;MEN;1930;1930;1990;1990;2;3;0;0;0;4;0;L50189;1930;1960;1999;x
Li Yutang;55041;MEN;1937;1939;1990;1990;3;4;0;1;0;4;0;L50190;1930;1960;1999;x
