Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamkavicius;130000;LIT;1939;1990;1990;1990;3;3;8;0;0;3;0;L130000;1939;1960;1999;x
Bangerskis;130001;LIT;1930;1930;1990;1990;2;6;516;1;0;2;0;L130001;1930;1945;1999;x
Barzda-Bradauskas;130002;LIT;1930;1938;1990;1990;2;3;0;1;0;4;0;L130002;1930;1941;1999;x
Cepas-Cepauskas;130003;LIT;1938;1990;1990;1990;3;4;128;0;0;3;0;L130003;1938;1942;1999;x
Galvydis-Bykauskas;130004;LIT;1930;1930;1930;1990;1;4;514;1;0;5;0;L130004;1930;1939;1999;x
Jackus;130005;LIT;1930;1990;1990;1990;3;3;512;1;0;4;0;L130005;1930;1941;1999;x
Jocys;130006;LIT;1939;1990;1990;1990;3;3;1;0;0;4;0;L130006;1939;1941;1999;x
Karvelis;130007;LIT;1938;1944;1990;1990;3;5;0;1;0;2;0;L130007;1938;1960;1999;x
Liatukas;130008;LIT;1930;1930;1940;1990;2;5;530;1;0;5;0;L130008;1930;1941;1999;x
Macijauskas;130009;LIT;1942;1990;1990;1990;3;4;0;0;0;2;0;L130009;1942;1960;1999;x
Musteikis;130010;LIT;1930;1930;1990;1990;2;3;0;1;0;3;0;L130010;1930;1942;1999;x
Nagevitchius;130011;LIT;1930;1939;1990;1990;3;3;514;1;0;4;0;L130011;1930;1940;1999;x
Papieliushko;130012;LIT;1937;1990;1990;1990;3;3;0;0;0;3;0;L130012;1937;1945;1999;x
Plechavicius;130013;LIT;1942;1945;1990;1990;2;4;32;1;0;2;0;L130013;1942;1960;1999;x
Radus-Zenkavicius;130014;LIT;1938;1990;1990;1990;3;3;0;0;0;4;0;L130014;1938;1943;1999;x
Ramanasukas-Vanagas;130015;LIT;1944;1990;1990;1990;3;5;16;0;0;3;0;L130015;1944;1947;1999;x
Rastikis;130016;LIT;1930;1930;1938;1990;1;4;0;2;0;3;0;L130016;1930;1942;1999;x
Reklatis;130017;LIT;1930;1938;1990;1990;2;3;0;1;0;3;0;L130017;1930;1940;1999;x
Snieckus;130018;LIT;1943;1990;1990;1990;3;4;1;0;0;2;0;L130018;1943;1960;1999;x
Sutkus;130019;LIT;1937;1943;1990;1990;3;4;0;1;0;5;0;L130019;1937;1946;1999;x
Tallat-Kelpsa;130020;LIT;1942;1990;1990;1990;3;3;0;0;0;3;0;L130020;1942;1960;1999;x
Urbsas;130021;LIT;1943;1990;1990;1990;3;3;0;0;0;3;0;L130021;1943;1960;1999;x
Vitkaukas;130022;LIT;1930;1939;1943;1990;2;4;0;2;0;3;0;L130022;1930;1960;1999;x
Vitkus;130023;LIT;1930;1990;1990;1990;3;5;32;0;0;4;0;L130023;1930;1941;1999;x
Zemaitis;130024;LIT;1941;1990;1990;1990;3;5;80;0;0;3;0;L130024;1941;1960;1999;x
Alsauskas;130025;LIT;1943;1990;1990;1990;3;3;0;0;0;4;1;L130025;1943;1960;1999;x
Bielazarevicius;130026;LIT;1930;1990;1990;1990;3;3;0;0;0;4;1;L130026;1930;1942;1999;x
Dirmantas;130027;LIT;1939;1944;1990;1990;2;3;0;1;0;4;1;L130027;1939;1960;1999;x
Macijauskas;130028;LIT;1944;1990;1990;1990;3;3;0;0;0;3;1;L130028;1944;1960;1999;x
Petrauskas;130029;LIT;1930;1990;1990;1990;3;3;1024;0;0;5;1;L130029;1930;1941;1999;x
Petrulis;130030;LIT;1939;1990;1990;1990;3;3;0;0;0;4;1;L130030;1939;1942;1999;x
Angarietis;130031;LIT;1942;1990;1990;1990;3;3;0;0;0;4;2;L130031;1942;1946;1999;x
Baukarskas;130032;LIT;1941;1990;1990;1990;3;3;0;0;0;2;2;L130032;1941;1960;1999;x
Gustaitis;130033;LIT;1930;1930;1990;1990;2;3;0;1;0;4;2;L130033;1930;1943;1999;x
Guzevicius;130034;LIT;1939;1942;1990;1990;2;3;0;1;0;1;2;L130034;1939;1960;1999;x
Jackus;130035;LIT;1930;1930;1990;1990;2;4;16384;1;0;4;2;L130035;1930;1941;1999;x
Rimbas;130036;LIT;1930;1990;1990;1990;3;3;0;0;0;4;2;L130036;1930;1942;1999;x
Plechavicius;130037;LIT;1930;1990;1990;1990;1;5;528;2;0;5;0;M28155;1930;1990;1999;x
Darius;130038;LIT;1930;1990;1990;1990;3;5;4096;2;0;5;2;M28162;1930;1990;1999;x
Dobkevicius;130039;LIT;1930;1990;1990;1990;3;5;8192;1;0;5;2;M28163;1930;1990;1999;x
