Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Albertsen;9500;DEN;1938;1990;1990;1990;3;3;2;0;0;5;0;L9500;1938;1960;1999;x
Albrechtsen;9501;DEN;1930;1937;1990;1990;2;3;128;1;0;5;0;L9501;1930;1944;1999;x
Benniken;9502;DEN;1942;1990;1990;1990;3;4;16;0;0;5;0;L9502;1942;1960;1999;x
Engelhardt;9503;DEN;1938;1945;1990;1990;3;3;1;1;0;5;0;L9503;1938;1960;1999;x
Esseman;9504;DEN;1930;1930;1990;1990;2;5;516;1;0;5;0;L9504;1930;1960;1999;x
Gørtz;9505;DEN;1930;1930;1990;1990;2;4;0;1;0;5;0;L9505;1930;1960;1999;x
Iuel-Brockdorff;9506;DEN;1939;1946;1990;1990;3;3;0;1;0;5;0;L9506;1939;1960;1999;x
Jørgensen;9507;DEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L9507;1930;1960;1999;x
Knutzon;9508;DEN;1940;1990;1990;1990;3;4;0;0;0;5;0;L9508;1940;1960;1999;x
Kryssing;9509;DEN;1930;1990;1990;1990;3;3;0;0;0;3;0;L9509;1930;1960;1999;x
Lassen;9510;DEN;1943;1990;1990;1990;3;6;260;1;0;5;0;L9510;1943;1945;1999;x
Mertz;9511;DEN;1930;1930;1990;1990;2;3;0;0;0;5;0;L9511;1930;1960;1999;x
Prior;9512;DEN;1930;1930;1930;1990;1;3;0;0;0;4;0;L9512;1930;1960;1999;x
Rolsted;9513;DEN;1939;1944;1990;1990;3;4;0;1;0;5;0;L9513;1939;1960;1999;x
Sommerfeldt;9514;DEN;1930;1930;1990;1990;2;4;576;1;0;5;0;L9514;1930;1939;1999;x
von Harbou;9515;DEN;1930;1990;1990;1990;3;4;544;1;0;5;0;L9515;1930;1960;1999;x
von Schalburg;9516;DEN;1938;1990;1990;1990;3;3;4;0;0;3;0;L9516;1938;1941;1999;x
Wieth;9517;DEN;1930;1930;1930;1990;1;5;514;1;0;5;0;L9517;1930;1960;1999;x
de Crèvecoeur;9518;DEN;1930;1930;1990;1990;2;3;2560;0;0;5;1;L9518;1930;1960;1999;x
Hammerich;9519;DEN;1930;1939;1945;1990;2;3;0;2;0;4;1;L9519;1930;1960;1999;x
Pontoppidan;9520;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9520;1930;1960;1999;x
Rechnitzer;9521;DEN;1930;1990;1990;1990;3;3;0;0;0;5;1;L9521;1930;1960;1999;x
Ulrich;9522;DEN;1938;1944;1990;1990;3;4;1024;1;0;5;1;L9522;1938;1960;1999;x
Vedel;9523;DEN;1930;1930;1990;1990;2;5;4096;1;0;4;1;L9523;1930;1942;1999;x
Andersen;9524;DEN;1938;1990;1990;1990;3;3;131072;0;0;5;2;L9524;1938;1943;1999;x
Birksted;9525;DEN;1941;1990;1990;1990;3;4;4096;0;0;4;2;L9525;1941;1960;1999;x
Esseman;9526;DEN;1930;1930;1990;1990;2;3;8704;0;0;5;2;L9526;1930;1939;1999;x
Jacobsen;9527;DEN;1930;1939;1990;1990;3;3;16896;1;0;5;2;L9527;1930;1960;1999;x
Kalmberg;9528;DEN;1941;1990;1990;1990;3;3;32768;0;0;5;2;L9528;1941;1960;1999;x
Ulrich;9529;DEN;1938;1944;1990;1990;3;3;0;1;0;5;2;L9529;1938;1960;1999;x
Ørum;9530;DEN;1941;1990;1990;1990;3;3;0;0;0;3;2;L9530;1941;1960;1999;x
Hjalf;9531;DEN;1939;1943;1945;1990;1;4;4;2;0;5;0;L9531;1939;1960;1999;x
Schjødt-Eriksen;9532;DEN;1942;1945;1990;1990;2;4;4;1;0;5;0;L9532;1942;1960;1999;x
