Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agosti;508000;RSI;1930;1990;1990;1990;3;4;256;0;0;5;0;L508000;1930;1960;1999;x
Agostini;508001;RSI;1930;1990;1990;1990;3;3;16;0;0;5;0;L508001;1930;1960;1999;x
Albera;508002;RSI;1930;1990;1990;1990;3;4;256;0;0;5;0;L508002;1930;1960;1999;x
Arioli;508003;RSI;1930;1990;1990;1990;3;4;4;0;0;5;0;L508003;1930;1960;1999;x
Barde;508006;RSI;1930;1990;1990;1990;3;4;0;0;0;5;0;L508006;1930;1960;1999;x
Bortolotto;508009;RSI;1930;1990;1990;1990;3;3;0;0;0;5;0;L508009;1930;1960;1999;x
Brufani;508011;RSI;1930;1990;1990;1990;3;4;256;0;0;5;0;L508011;1930;1960;1999;x
Bruno;508012;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;1999;x
Calzolari;508013;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1930;1960;1999;x
Carloni;508014;RSI;1930;1990;1990;1990;3;4;128;0;0;5;0;L508014;1930;1960;1999;x
Carsiviglia;508015;RSI;1930;1990;1990;1990;3;5;256;0;0;5;0;L508015;1930;1960;1999;x
Crimi;508016;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;1999;x
D'Oro;508017;RSI;1930;1943;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;1999;x
de Cia;508018;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;1999;x
del Giudice;508019;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;1999;x
Esposito;508020;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;1999;x
Fanfani;508021;RSI;1930;1990;1990;1990;3;6;256;1;0;5;0;L508022;1930;1960;1999;x
Farina;508022;RSI;1930;1940;1990;1990;3;4;0;1;0;5;0;L508023;1930;1960;1999;x
Farinacci;508023;RSI;1936;1990;1990;1990;3;3;0;0;0;5;0;L6255;1930;1945;1999;x
Filippani Ronconi;508024;RSI;1930;1940;1990;1990;3;5;4;0;0;5;0;L508024;1930;1960;1999;x
Gambara;508025;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;1999;x
Giugni;508026;RSI;1930;1990;1990;1990;3;3;0;0;0;5;0;L508026;1930;1960;1999;x
Graziani;508028;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;1999;x
Leonardi;508035;RSI;1939;1943;1990;1990;3;2;0;1;0;5;0;L6262;1939;1960;1999;x
Marino;508036;RSI;1930;1940;1990;1990;3;2;0;0;0;5;0;L508036;1930;1960;1999;x
Melchiore;508037;RSI;1930;1930;1990;1990;2;3;0;1;0;5;0;L508037;1930;1960;1999;x
Millica;508038;RSI;1930;1990;1990;1990;3;2;0;0;0;5;0;L508038;1930;1960;1999;x
Montagna;508039;RSI;1930;1945;1990;1990;3;4;0;1;0;5;0;L6265;1930;1960;1999;x
Navarini;508040;RSI;1930;1939;1943;1990;2;5;0;2;0;5;0;L6267;1930;1960;1999;x
Nicchiarelli;508041;RSI;1930;1990;1990;1990;3;3;0;0;0;5;0;L508041;1930;1960;1999;x
Pavolini;508042;RSI;1930;1930;1990;1990;2;4;16;1;0;5;0;L508042;1930;1960;1999;x
Piatti del Pozzo;508043;RSI;1942;1943;1990;1990;2;3;0;1;0;5;0;L6271;1942;1960;1999;x
Pozzi;508044;RSI;1930;1990;1990;1990;3;2;0;0;0;5;0;L508044;1930;1960;1999;x
Romegialli;508045;RSI;1930;1938;1990;1990;2;3;1;1;0;5;0;L6274;1930;1960;1999;x
Ricci;508046;RSI;1930;1937;1990;1990;3;4;0;1;0;5;0;L6124;1930;1960;1999;x
Sommavilla;508047;RSI;1930;1940;1990;1990;3;3;0;0;0;5;0;L508047;1930;1960;1999;x
Voldemyra-Gabini;508048;RSI;1941;1990;1990;1990;3;4;8;0;0;5;0;L6279;1941;1945;1999;x
Zuliani;508052;RSI;1930;1990;1990;1990;3;4;256;0;0;5;0;L508052;1930;1960;1999;x
Brandimarte;508054;RSI;1938;1943;1944;1990;2;4;0;2;0;5;1;L6280;1938;1960;1999;x
di Cossata;508056;RSI;1941;1943;1990;1990;2;3;1024;1;0;4;1;L6164;1941;1960;1999;x
Gazzana;508057;RSI;1942;1944;1990;1990;3;3;1024;1;0;5;1;L6173;1942;1960;1999;x
Grillo;508058;RSI;1940;1943;1990;1990;2;3;0;1;0;5;1;L6281;1940;1960;1999;x
Nobe;508061;RSI;1942;1944;1990;1990;2;4;4096;1;0;5;1;L508061;1942;1960;1999;x
Bonomi;508069;RSI;1930;1930;1938;1943;1;4;16384;2;0;5;2;L6282;1930;1960;1999;x
