Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alispahic;546000;BOS;1937;1990;1990;1990;3;2;0;0;0;5;0;L546000;1937;1960;1999;x
Augustini;546001;BOS;1942;1990;1990;1990;3;3;4;0;0;5;0;L546001;1942;1960;1999;x
Berendes;546002;BOS;1942;1990;1990;1990;3;3;8;0;0;5;0;L546002;1942;1960;1999;x
Cabri;546003;BOS;1930;1942;1990;1990;2;3;0;1;0;5;0;L546003;1930;1960;1999;x
Daubert;546004;BOS;1940;1990;1990;1990;3;4;0;0;0;5;0;L546004;1940;1960;1999;x
Erler;546005;BOS;1941;1990;1990;1990;3;4;4;0;0;5;0;L546005;1941;1960;1999;x
Ganic;546006;BOS;1938;1990;1990;1990;3;2;0;0;0;5;0;L546006;1938;1960;1999;x
Garski;546007;BOS;1940;1990;1990;1990;3;3;32;0;0;5;0;L546007;1940;1960;1999;x
Grosse;546008;BOS;1941;1990;1990;1990;3;3;256;1;0;5;0;L546008;1941;1960;1999;x
Gröneveld;546009;BOS;1941;1990;1990;1990;3;4;64;0;0;5;0;L546009;1941;1946;1999;x
Hadzec;546010;BOS;1930;1940;1990;1990;2;3;64;1;0;5;0;M546007;1930;1960;1999;x
Halilovic;546011;BOS;1940;1990;1990;1990;3;4;8;0;0;5;0;L546011;1940;1960;1999;x
Hampel;546012;BOS;1930;1941;1990;1990;2;4;0;1;0;5;0;M546008;1930;1960;1999;x
Herrmann;546013;BOS;1939;1990;1990;1990;3;4;528;1;0;5;0;L546013;1939;1946;1999;x
Jancic;546014;BOS;1939;1990;1990;1990;3;3;128;0;0;5;0;L546014;1939;1960;1999;x
Kammel;546015;BOS;1940;1990;1990;1990;3;3;64;0;0;5;0;L546015;1940;1960;1999;x
Komsic;546016;BOS;1942;1990;1990;1990;3;5;256;0;0;5;0;L546016;1942;1960;1999;x
Nippolt;546017;BOS;1942;1990;1990;1990;3;2;0;0;0;5;0;M546026;1942;1960;1999;x
Rilke;546018;BOS;1930;1940;1990;1990;2;3;1;1;0;5;0;L546018;1930;1960;1999;x
Ruckdeschel;546019;BOS;1940;1990;1990;1990;3;2;0;0;0;5;0;L546019;1940;1945;1999;x
Toptani;546020;BOS;1930;1930;1930;1990;1;3;514;1;0;5;0;M546011;1930;1960;1999;x
von Alten;546021;BOS;1939;1990;1990;1990;3;2;0;0;0;5;0;L546021;1939;1945;1999;x
von Erdmanssdorff;546022;BOS;1941;1945;1990;1990;2;4;32;1;0;5;0;L546022;1941;1960;1999;x
von Erstorf;546023;BOS;1939;1990;1990;1990;3;5;513;1;0;5;0;L546023;1939;1945;1999;x
von Kirchbach;546024;BOS;1941;1990;1990;1990;3;3;128;0;0;5;0;L546024;1941;1960;1999;x
von Obwurzer;546025;BOS;1938;1990;1990;1990;3;2;0;0;0;5;0;L546025;1938;1944;1999;x
Vujicic;546026;BOS;1930;1942;1990;1990;3;3;2;1;0;5;0;M546030;1930;1960;1999;x
Wagner;546027;BOS;1941;1941;1990;1990;2;2;0;0;0;5;0;M546018;1941;1960;1999;x
Bocic;546028;BOS;1930;1990;1990;1990;3;2;0;0;0;5;1;L546028;1930;1945;1999;x
Jakcin;546029;BOS;1930;1930;1990;1990;2;3;1024;0;0;5;1;L46044;1930;1960;1999;x
Kinzel;546030;BOS;1930;1930;1990;1990;2;4;4096;1;0;5;1;M546009;1930;1960;1999;x
Latific;546031;BOS;1938;1990;1990;1990;3;2;0;0;0;5;1;L546031;1938;1960;1999;x
Saskijevic;546032;BOS;1939;1990;1990;1990;3;2;0;0;0;4;1;L46048;1940;1960;1999;x
Steinfl;546033;BOS;1930;1990;1990;1990;3;3;2048;0;0;0;1;L46050;1930;1960;1999;x
Bolonic;546034;BOS;1939;1990;1990;1990;3;2;131072;0;0;5;2;L546034;1939;1960;1999;x
Erkocevic;546035;BOS;1938;1990;1990;1990;3;2;0;0;0;5;0;L546035;1938;1960;1999;x
Naumovic;546036;BOS;1930;1938;1990;1990;2;3;4096;1;0;4;2;L46056;1930;1960;1999;x
Omeragic;546037;BOS;1939;1990;1990;1990;3;2;65536;0;0;5;2;L546037;1939;1960;1999;x
Pilaw;546038;BOS;1930;1990;1990;1990;3;2;16384;0;0;5;2;L546038;1930;1960;1999;x
Tomic;546039;BOS;1930;1941;1990;1990;2;3;0;0;0;3;2;L46061;1938;1960;1999;x
Laxa;546040;BOS;1930;1930;1941;1990;1;6;513;1;0;4;0;L44609;1930;1945;1999;x
