Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Tchermoeff;5254300;U43;1930;1930;1930;1990;2;5;8;1;0;5;0;kai_u34ppchrn;1930;1947;1999;x
Visaitov;5254301;U43;1942;1949;1990;1990;2;6;4;2;0;5;0;kai_u43movldvsd;1942;1970;1999;x
Bayramukov;5254302;U43;1940;1960;1990;1990;3;6;256;2;0;5;0;kai_u43brmk;1940;1970;1999;x
Ozdoev;5254303;U43;1944;1960;1990;1990;3;6;4096;1;0;5;2;kai_u43mrdozd;1944;1970;1999;x
Girei;5254304;U43;1930;1930;1930;1990;2;7;529;3;0;5;0;kai_u43klkgri;1930;1950;1999;x
Bicherakhov;5254305;U43;1930;1930;1930;1990;2;7;2;3;0;5;0;kai_u43lzrbchr;1930;1963;1999;x
Baroev ;5254306;U43;1940;1990;1990;1990;3;5;0;1;0;5;0;kai_u43brvmkh;1940;1970;1999;x
Bilaonov;5254307;U43;1944;1951;1990;1990;2;6;32;1;0;5;0;kai_u43pvlblon;1944;1970;1999;x
Dzilikhov;5254308;U43;1943;1990;1990;1990;3;6;0;1;0;5;0;kai_u43dzilikh;1943;1970;1999;x
Dzhioev;5254309;U43;1943;1990;1990;1990;3;6;6;1;0;5;0;kai_u43kstdzh;1943;1970;1999;x
Dzusov;5254310;U43;1936;1940;1990;1990;2;6;4096;1;0;5;2;kai_u43ibrdzs;1936;1970;1999;x
Karsanov;5254311;U43;1939;1960;1990;1990;3;6;320;2;0;5;0;kai_u43kzbkkrs;1939;1970;1999;x
Panteley;5254312;U43;1941;1990;1990;1990;3;5;0;1;0;5;1;kai_u43tsgpnt;1941;1970;1999;x
Ostayev;5254313;U43;1930;1990;1990;1990;2;5;65536;2;0;5;2;AWM_Ostayev;1930;1990;1999;x
Kankochev;5254314;U43;1930;1990;1990;1990;3;5;0;1;0;5;2;AWM_Kankochev;1930;1990;1999;x
Alborgachiyev;5254315;U43;1930;1990;1990;1990;3;5;32;1;0;5;0;AWM_Jamaldin;1930;1960;1999;x
Gamzatov;5254316;U43;1930;1990;1990;1990;3;5;0;1;0;5;0;AWM_Gamzatov;1930;1990;1999;x
Akkhanov;5254317;U43;1930;1990;1990;1990;3;5;0;1;0;5;0;AWM_Akkhanov;1930;1960;1999;x
Mirzaev;5254318;U43;1930;1990;1990;1990;3;5;0;1;0;5;0;AWM_Mirzaev;1930;1990;1999;x
Doev;5254319;U43;1930;1990;1990;1990;3;5;0;1;0;5;0;AWM_Doev;1930;1970;1999;x
Bzarov;5254320;U43;1930;1990;1990;1990;3;5;0;1;0;5;0;AWM_Bzarov;1930;1970;1999;x
Bogatuyov;5254321;U43;1930;1990;1990;1990;2;5;1;2;0;5;0;AWM_Bogatuyov;1930;1970;1999;x
Karachoyevskij;5254322;U43;1930;1990;1990;1990;2;5;8;3;0;5;0;AWM_Karachoyevskij;1930;1960;1999;x
Dzhurkayev;5254323;U43;1930;1990;1990;1990;3;5;512;2;0;5;0;AWM_Dzhurkayev;1930;1950;1999;x
Mansurov;5254324;U43;1939;1990;1990;1990;3;5;4;1;0;5;0;LBoris_Mansurov;1939;1962;1999;x
Khetagurov;5254325;U43;1942;1945;1955;1990;1;7;69;2;0;5;0;LGeorgiy_Khetagurov;1942;1970;1999;x
Mamsurov;5254326;U43;1936;1949;1990;1990;2;7;272;2;0;5;0;AWM_Hajjumar;1936;1968;1999;x
Pliev;5254327;U43;1941;1945;1955;1990;1;8;1073741829;2;0;5;0;LIssa_Aleksandrovich_Pliev;1941;1970;1999;x
