Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Begic;44600;CRO;1930;1941;1945;1990;2;5;128;2;0;4;0;L44600;1930;1960;1999;x
Boban;44601;CRO;1941;1943;1990;1990;3;6;256;1;0;4;0;L44601;1941;1970;1999;x
Budak;44602;CRO;1941;1990;1990;1990;3;4;0;0;0;5;0;L44602;1941;1960;1999;x
Pavicic;44603;CRO;1930;1941;1990;1990;2;5;0;1;0;5;0;CRO-KR_Viktor_Pavicic;1930;1970;1999;x
Dragojlov;44604;CRO;1930;1942;1990;1990;2;4;4;1;0;5;0;L44604;1930;1960;1999;x
Francetic;44605;CRO;1941;1990;1990;1990;3;4;256;0;0;5;0;L44605;1941;1970;1999;x
Halla;44606;CRO;1941;1990;1990;1990;3;4;0;0;0;5;0;L44606;1941;1960;1999;x
Kvaternik  D.;44607;CRO;1941;1990;1990;1990;3;4;0;1;0;5;0;L44607;1941;1960;1999;x
Kvaternik  S.;44608;CRO;1930;1930;1930;1930;0;6;514;2;0;4;0;L44608;1930;1950;1999;x
Lorkovic;44610;CRO;1942;1990;1990;1990;3;4;16;0;0;5;0;L44610;1942;1970;1999;x
Luburic;44611;CRO;1941;1990;1990;1990;3;5;0;0;0;3;0;L44611;1941;1970;1999;x
Lukic;44612;CRO;1930;1930;1940;1990;1;6;2;2;0;3;0;L44612;1930;1960;1999;x
Majetic;44613;CRO;1941;1990;1990;1990;3;4;256;0;0;2;0;L44613;1941;1960;1999;x
Matasic;44614;CRO;1930;1930;1930;1990;1;4;512;1;0;4;0;CRO-KR_Ante_Matasic;1930;1960;1999;x
Mesic;44615;CRO;1930;1941;1990;1990;2;5;64;1;0;4;0;CRO-KR_Marko_Mesic;1930;1970;1999;x
Moskov;44616;CRO;1942;1990;1990;1990;3;4;0;0;0;3;0;L44616;1942;1960;1999;x
Navratil;44617;CRO;1930;1930;1942;1990;1;5;16384;1;0;4;2;CRO-KR_Miroslav_Navratil;1930;1960;1999;x
Opacic;44618;CRO;1941;1990;1990;1990;3;4;8;0;0;4;0;L44618;1941;1960;1999;x
Stancer;44619;CRO;1930;1930;1941;1990;1;4;0;1;0;5;0;CRO-KR_Slavko_Stancer;1930;1946;1999;x
Vokic;44620;CRO;1930;1941;1990;1990;3;4;1;1;0;4;0;L44620;1930;1960;1999;x
Percevic;44621;CRO;1930;1941;1943;1990;2;7;516;2;0;5;0;CRO-KR_Ivan_Percevic;1930;1950;1999;x
Jakcin;44622;CRO;1930;1941;1990;1990;2;4;0;1;0;5;1;CRO_KR_Djuro_Jakcin;1930;1960;1999;x
Polic;44623;CRO;1930;1930;1990;1990;2;4;0;1;0;4;1;CRO-KR_Marijan_Polic;1930;1960;1999;x
Steinfel;44624;CRO;1930;1990;1990;1990;3;5;1024;1;0;4;1;CRO-KR_Nikola_Steinfel;1930;1960;1999;x
Dukovac;44625;CRO;1941;1990;1990;1990;3;6;4096;1;0;5;2;L44625;1941;1970;1999;x
Uzelac;44626;CRO;1930;1930;1930;1990;1;6;4608;2;0;5;2;CRO-KR_Emil-Uzelac2;1930;1942;1999;x
Halla;44627;CRO;1941;1990;1990;1990;3;4;0;0;0;5;2;L44627;1941;1960;1999;x
Kren;44628;CRO;1930;1941;1990;1990;2;4;0;1;0;5;2;L44628;1930;1960;1999;x
Rogulja;44629;CRO;1930;1941;1990;1990;2;4;0;1;0;4;2;L44629;1930;1960;1999;x
Vokic;44630;CRO;1930;1941;1990;1990;3;4;0;1;0;4;2;L44630;1930;1960;1999;x
Tijanovic;44631;CRO;1930;1930;1930;1990;1;4;4608;0;0;3;1;L46051;1930;1953;1999;x
Saskijevic;44632;CRO;1940;1990;1990;1990;3;4;0;0;0;4;1;L46048;1940;1960;1999;x
Schmidt;44633;CRO;1915;1990;1990;1990;3;5;0;1;0;2;2;7649;1913;1959;1990;x
Dragicevic;44634;CRO;1930;1930;1990;1990;2;5;2;1;0;2;0;L46007;1930;1960;1999;x
Angeli;44635;CRO;1937;1990;1990;1990;3;5;0;0;0;4;1;L46042;1937;1960;1999;x
Galic;44636;CRO;1941;1990;1990;1990;3;6;4096;1;0;5;2;BOS-KR_Cvitan_Galic;1941;1970;1999;x
Dzal;44637;CRO;1939;1990;1990;1990;3;5;8192;1;0;5;2;BOS-KR_Franjo_Dzal;1939;1970;1999;x
Bubanj;44638;CRO;1946;1954;1990;1990;2;6;0;1;0;5;2;CRO-KR_Viktor_Bubanj;1946;1960;1999;x
Pecotic;44639;CRO;1945;1952;1990;1990;2;6;4096;2;0;4;1;CRO-KR_Bogdan_Pecotic;1945;1970;1999;x
Skorpik;44640;CRO;1941;1990;1990;1990;3;6;0;1;0;4;1;LVelimir_Skorpik;1941;1970;1999;x
