CSA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
573001;Head of State;Norman Thomas;1936;1964;1999;LWR;Insignificant Layman;High;M6021;X
573002;Head of Government;William Z. Foster;1936;1964;1999;ST;Totalist Chairman;High;M6055;X
573006;Foreign Minister;Sam Darcy;1936;1964;1999;ST;Ideological Crusader;Low;M6073;X
573011;Minister of Armament;Elizabeth Gurley Flynn;1936;1964;1999;ST;Battle Fleet Proponent;Very High;M6099;X
573017;Minister of Security;Raymond Charles Moley;1936;1964;1999;LE;Prince of Terror;Low;M6116;X
573021;Head of Military Intelligence;Harry Haywood;1936;1964;1999;LE;Dismal Enigma;High;M6026;X
573024;Chief of Army;Robert Merriman;1936;1964;1999;ST;Armoured Spearhead Doctrine;High;M6028;X
573025;Chief of Air Force;John Abt;1936;1964;1999;LE;Army Aviation Doctrine;Medium;M6029;X
573041;Chief of Staff;Hans Amlie;1936;1964;1999;ST;School of Defence;High;M6027;X
573042;Chief of Navy;John Abt;1936;1964;1999;LE;Base Control Doctrine;Medium;M6029;X
573003;Head of Government;James Cannon;1936;1964;1999;LWR;Smiling Oilman;High;M6056;X
573004;Head of Government;Joseph P. Lash;1936;1964;1999;LE;Naive Optimist;High;M6024;X
573007;Foreign Minister;James Paul Warburg;1936;1964;1999;LE;Ideological Crusader;High;M6023;X
573008;Foreign Minister;Robert Minor;1936;1964;1999;ST;General Staffer;High;M6075;X
573009;Foreign Minister;Eugene Dennis;1936;1964;1999;LE;Biased Intellectual;High;M6076;X
573010;Minister of Armament;Wyndham Mortimer;1936;1964;1999;LWR;Resource Industrialist;Low;M6098;X
573013;Minister of Armament;Lemart Harris;1936;1964;1999;LWR;Resource Industrialist;Very High;M6101;X
573014;Minister of Armament;Walther Reuther;1936;1964;1999;LWR;Resource Industrialist;Very High;M6102;X
573015;Minister of Security;William Aalto;1936;1964;1999;LWR;Back Stabber;Medium;M6114;X
573016;Minister of Security;Charles Chaplin;1936;1964;1999;LWR;Man of the People;Medium;M6115;X
573018;Minister of Security;John Abt;1936;1964;1999;LE;Efficient Sociopath;Medium;M6029;X
573019;Minister of Security;Daniel Hoan;1936;1964;1999;LWR;Silent Lawyer;Medium;M6025;X
573020;Minister of Security;Jessica Smith;1936;1964;1999;LE;Compassionate Gentleman;Medium;M6119;X
573022;Chief of Army;Oliver Law;1936;1964;1999;LE;Decisive Battle Doctrine;High;M6149;X
573023;Chief of Army;Steve Nelson;1936;1964;1999;LWR;Static Defence Doctrine;High;M6150;X
573026;Minister of Armament;Joseph P. Lash;1936;1964;1999;LWR;Resource Industrialist;Very High;M6024;X
573027;Minister of Security;Archibald MacLeish;1936;1964;1999;LWR;Man of the People;Medium;M6200;X
573028;Foreign Minister;Archibald MacLeish;1936;1964;1999;LWR;Biased Intellectual;Medium;M6200;X
573030;Head of State;Earl Browder;1936;1964;1999;ST;Ruthless Powermonger;High;M6041;X
573031;Head of State;Jack Reed;1936;1964;1999;LE;Syndicalist Demagogue;High;kaiserreich JackReed;X
573032;Head of Government;Norman Thomas;1936;1964;1999;SD;Happy Amateur;Very High;M6021;X
573033;Head of Government;Max Shachtman;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich maxschachtman;X
573034;Head of Government;Paul Mattick;1936;1964;1999;LE;Ambitious Union Boss;High;kaiserreich paulmattick;X
573035;Head of Government;William Z. Foster;1936;1964;1999;ST;Totalist Chairman;High;M6055;X
573175;Foreign Minister;Jack Reed;1936;1964;1999;LE;Ideological Crusader;High;kaiserreich JackReed;X
573037;Head of Military Intelligence;Norman Thomas;1936;1964;1999;SD;Logistics Specialist;Very High;M6021;X
573038;Foreign Minister;Max Shachtman;1936;1964;1999;LWR;Great Compromiser;High;kaiserreich maxschachtman;X
573039;Minister of Armament;Paul Mattick;1936;1964;1999;LE;Administrative Genius;High;kaiserreich paulmattick;X
573040;Minister of Security;William Z. Foster;1936;1964;1999;ST;Silent Lawyer;High;M6055;X
573043;Chief of Air Force;William C. Lambert;1936;1964;1999;LE;Air Superiority Doctrine;Medium;Kaiserreich Lambert officer;X
573044;Chief of Air Force;Raoul Lufbery;1936;1964;1999;LE;Army Aviation Doctrine;High;Kaiserreich Lufbery officer;X
573045;Minister of Armament;Clark Millikan;1936;1964;1999;SD;Air Superiority Proponent;Medium;Kaiserreich Milikan pic;X
573046;Chief of Navy;Hugh Mulzac;1936;1964;1999;LE;Indirect Approach Doctrine;High;Kaiserreich Mulzac officer;X
573047;Chief of Navy;Joseph Curran;1936;1964;1999;ST;Open Seas Doctrine;Very High;Kaiserreich Curran;X
573048;Foreign Minister;Rudolf Rocker;1936;1964;1999;LE;Biased Intellectual;Very High;KMrrocker;X
573049;Foreign Minister;Asa P. Randolph;1936;1964;1999;LE;Great Compromiser;High;Kaiserreich Asa Philip Randolph;X
573050;Minister of Security;Asa P. Randolph;1936;1964;1999;LE;Man of the People;High;Kaiserreich Asa Philip Randolph;X
573051;Minister of Security;Sidney Hillman;1936;1964;1999;ST;Crime Fighter;Very High;Kaiserreich Sidney Hillman;X
573052;Minister of Armament;Sidney Hillman;1936;1964;1999;ST;Administrative Genius;Very High;Kaiserreich Sidney Hillman;X
573053;Head of Military Intelligence;David Dubinsky;1936;1964;1999;LE;Industrial Specialist;High;Kaiserreich Dubinsky;X
573054;Minister of Security;Otto Braun;1936;1964;1999;ST;Efficient Sociopath;Very High;L76300;X
573055;Head of Military Intelligence;Otto Braun;1936;1964;1999;ST;Technical Specialist;Very High;L76300;X
573056;Chief of Staff;Smedley Butler;1936;1964;1999;LWR;School of Fire Support;High;CSA_Butler;X
573057;Chief of Army;Smedley Butler;1936;1964;1999;LWR;Decisive Battle Doctrine;High;CSA_Butler;X
573058;Chief of Navy;Hyman G. Rickover;1936;1964;1999;LWR;Power Projection Doctrine;High;Kaiserreich Rickover;X
573059;Chief of Army;Maurice Rose;1936;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;L60316;X
573060;Minister of Armament;Covington Hall;1936;1964;1999;LWR;Resource Industrialist;Medium;unknown;X
573061;Minister of Security;Hellen Keller;1936;1964;1999;LWR;Compassionate Gentleman;Medium;Hellen_Keller;X
573062;Foreign Minister;Flora Blackford;1936;1964;1999;LE;Ideological Crusader;High;Kaiserreich Flora;X
573063;Head of Military Intelligence;Luther Duncan;1936;1964;1999;SL;Technical Specialist;Medium;Luther_Duncan;X
573164;Chief of Air Force;Bruce K. Holloway;1948;1964;1999;SD;Carpet Bombing Doctrine;Medium;Holloway;X
573165;Head of State;William Z. Foster;1936;1964;1999;ST;Syndicalist Demagogue;High;M6055;X
573166;Head of State;Benjamin Gitlow;1936;1964;1999;LE;Insignificant Layman;High;kaibenjamin_gitlow;X
573167;Head of Government;Eugene Dennis;1936;1964;1999;LE;Silent Workhorse;High;M6076;X
573168;Head of Government;James W. Ford;1936;1964;1999;LWR;Ambitious Union Boss;High;kaijamewfor;X
573169;Head of Government;Bayard Rustin;1936;1964;1999;LE;Naive Optimist;High;kaibayardrus;X
573170;Head of Government;Jay Lovestone;1936;1964;1999;ST;Totalist Chairman;High;kaijaylovestone;X
573171;Head of Government;Carlo Tresca;1936;1964;1999;LWR;Ambitious Union Boss;High;kaicartres;X
573172;Head of Government;Robert M. La Follette;1936;1964;1999;ST;Totalist Chairman;High;kailafolete;X
573173;Head of Government;James P. Cannon;1936;1964;1999;LE;Ambitious Union Boss;High;kaijamescan;X
573174;Head of Government;Joseph P. Lash;1936;1964;1999;LWR;Naive Optimist;High;kaijosephlash;X
573176;Minister of Security;Smedley Butler;1936;1970;1999;LWR;Crime Fighter;Very High;CSA_Butler;X
