NIG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
552001;Head of State;Sir Bernard H. Bourdillon;1936;1964;1999;ML;Powerhungry Demagogue;High;M552001;x
552002;Head of Government;John E. Shuckburgh;1936;1964;1999;ML;Political Protege;High;M552002;x
552003;Foreign Minister;Sir Allan C.M. Burns;1936;1964;1999;ML;Great Compromiser;High;M551002;x
552004;Minister of Armament;Sir Arthur F. Richards;1936;1964;1999;ML;Resource Industrialist;Medium;M552004;x
552005;Minister of Security;William Baker-Morris;1936;1964;1999;ML;Man of the People;Medium;M552005;x
552006;Head of Military Intelligence;Richard McManus;1936;1964;1999;ML;Naval Intelligence Specialist;Medium;M552006;x
552007;Chief of Staff;D.T. Banks-MacDonald;1936;1964;1999;ML;School of Fire Support;Medium;L1021;x
552008;Chief of Army;William P.S. de L'Isle;1936;1964;1999;ML;Elastic Defence Doctrine;Medium;L1097;x
552009;Chief of Navy;W.B. Manners;1936;1964;1999;ML;Power Projection Doctrine;Medium;L1369;x
552010;Chief of Air Force;W.L. Brill;1936;1964;1999;ML;Army Aviation Doctrine;Medium;L1419;x
552011;Head of State;Dr. Nnamdi Azikiwe;1936;1964;1999;SD;Benevolent Gentleman;High;M552011;x
552012;Head of State;Thomas Ironside;1936;1964;1999;PA;Weary Stiffneck;High;M552012;x
552013;Head of Government;Sir Abubabar Tafawa Balewa;1936;1964;1999;SD;Silent Workhorse;High;M552013;x
552014;Head of Government;Leon Bouchard;1936;1964;1999;PA;Ambitious Union Boss;High;M552014;x
552015;Foreign Minister;Stuart McMorris;1936;1964;1999;SD;Ideological Crusader;High;M552015;x
552016;Foreign Minister;W.E.B. Dubois;1936;1964;1999;PA;Iron Fisted Brute;High;M552016;x
552017;Minister of Armament;Yahu Awko-Iditti;1936;1964;1999;SD;Battle Fleet Proponent;Medium;M552017;x
552018;Minister of Armament;Nigel Fergusson;1936;1964;1999;PA;Air Superiority Proponent;Medium;M552018;x
552019;Minister of Security;Mohammad Okaziyabu;1936;1964;1999;SD;Compassionate Gentleman;Medium;M552019;x
552020;Minister of Security;James Monford;1936;1964;1999;PA;Back Stabber;Medium;M552020;x
552021;Head of Military Intelligence;Johnson Ayuiyi-Ironsi;1936;1964;1999;SD;Logistics Specialist;Medium;M552021;x
552022;Head of Military Intelligence;Roderick Smith-Keyes;1936;1964;1999;PA;Dismal Enigma;Medium;M552022;x
552023;Chief of Staff;Yakubu Gowon;1936;1964;1999;SD;School of Manoeuvre;Medium;M552023;x
552024;Chief of Staff;Povah Dickinson;1936;1964;1999;PA;School of Mass Combat;Medium;L1104;x
552025;Chief of Army;Johnson Ayuiyi-Ironsi;1936;1964;1999;SD;Static Defence Doctrine;Medium;M552021;x
552026;Chief of Army;H.F.L. Hilton-Green;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;L1164;x
552027;Chief of Navy;Hamilton Alula;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M552027;x
552028;Chief of Navy;Ignacio Villanueva;1936;1964;1999;PA;Open Seas Doctrine;Medium;M552028;x
552029;Chief of Air Force;Ifar Ilishuno;1936;1964;1999;SD;Air Superiority Doctrine;Medium;M552029;x
552030;Chief of Air Force;Lowrie Regan;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;L1472;x
552031;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
552032;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
