CON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
574001;Head of State;Hermann Göring;1936;1964;1999;NS;Ruthless Dictator;Very High;Kaiserreich Göring;X
574002;Head of Government;Heinrich Schnee;1936;1964;1999;PA;Naive Optimist;High;kaiserreich_HeinrichSchnee;X
574003;Foreign Minister;Joachim von Ribbentrop;1936;1964;1999;NS;Iron Fisted Brute;High;M55;X
574004;Minister of Armament;August Stauch;1936;1964;1999;PA;Resource Industrialist;High;Kaiserreichstauch;X
574005;Minister of Security;Alexander Duala Bell;1936;1964;1999;PA;Man of the People;Medium;Kaiserreich AlexanderBell;X
574006;Head of Military Intelligence;Theodor von Hippel;1936;1964;1999;PA;Dismal Enigma;Very High;kaiserreichhippel;X
574007;Chief of Staff;Ernst Jünger;1936;1964;1999;PA;School of Manoeuvre;Very High;Kaiserreichjunger2;X
574008;Chief of Army;Hermann Detzner;1936;1964;1999;PA;Guns and Butter Doctrine;High;kaiserreichdetzner;X
574009;Chief of Navy;Max von Looff;1936;1964;1999;FA;Indirect Approach Doctrine;Very High;kaiserreichvonloof;X
574010;Chief of Air Force;Paul Graetz;1936;1964;1999;PA;Air Superiority Doctrine;High;kaiserreichgraetz;X
574011;Head of State;Mwambutsa IV Bangiricenge;1936;1964;1999;PA;Benevolent Gentleman;High;M574011;X
574012;Head of State;Josephe Kasavubu;1936;1964;1999;LWR;Ruthless Powermonger;High;M574012;X
574013;Head of Government;Reinhard Maack;1936;1964;1999;PA;Naive Optimist;High;Kaiserreich Reinhard Maack;X
574014;Head of Government;Patrice Lumumba;1946;1964;1999;LWR;Ambitious Union Boss;High;M574014;X
574016;Foreign Minister;Moishe Tshombe;1936;1964;1999;LWR;The Cloak N Dagger Schemer;High;M574016;X
574017;Foreign Minister;Antoine Gizenga;1942;1964;1999;LWR;Ideological Crusader;High;M574017;X
574018;Minister of Armament;Zacharias Lewala;1936;1964;1999;PA;Laissez-Faire Capitalist;Medium;Kaiserreich Lewala;X
574019;Minister of Armament;Gregorie Kayibanda;1936;1964;1999;LWR;Corrupt Kleptocrat;Medium;M574019;X
574020;Minister of Armament;Josephe Bamina;1943;1964;1999;LWR;Air to Ground Proponent;Medium;M574020;X
574021;Minister of Security;Albin Nyamoya;1936;1964;1999;PA;Efficient Sociopath;Medium;M574021;X
574022;Minister of Security;Michel Micombero;1936;1964;1999;PA;Back Stabber;Medium;M574022;X
574023;Minister of Security;Charles Ndizeye;1936;1964;1999;LWR;Compassionate Gentleman;Medium;M574023;X
574024;Head of Military Intelligence;Franz Köhl;1936;1964;1999;PA;Dismal Enigma;Medium;Kaiserreich Franz Köhl;X
574025;Head of Military Intelligence;Andre Muhirwa;1936;1964;1999;LWR;Industrial Specialist;Medium;M574025;X
574026;Chief of Staff;Heinrich Kirchheim;1936;1964;1999;PA;School of Defence;High;Kaiserreich HeinrichKirchheim;X
574027;Chief of Staff;Josephe Kasavubu;1940;1964;1999;LWR;School of Manoeuvre;Medium;M574027;X
574028;Chief of Army;Sepp Dietrich;1940;1964;1999;FA;Armoured Spearhead Doctrine;Medium;L496;X
574029;Chief of Army;Hans Hädicke;1936;1964;1999;PA;Static Defence Doctrine;High;Kaiserreich Hädicke;X
574030;Chief of Army;Joseph D. Mobutu;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M574030;X
574031;Chief of Navy;Karl Wendling;1936;1964;1999;PA;Indirect Approach Doctrine;High;Kaiserreich Wendling;X
574032;Chief of Navy;Dominik Mbonyumutwa;1936;1964;1999;PA;Power Projection Doctrine;Medium;M574032;X
574033;Chief of Navy;Jean Pierre Raffage;1936;1964;1999;LWR;Open Seas Doctrine;Medium;M574033;X
574034;Chief of Air Force;Mamadou Diabate;1936;1964;1999;PA;Army Aviation Doctrine;Medium;Kaiserreich MamadouDiabate;X
574035;Chief of Air Force;Louis Rwagasore;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M574035;X
574036;Minister of Armament;Hermann Göring;1938;1964;1999;NS;Air to Ground Proponent;Very High;Kaiserreich Göring;X
574037;Head of Government;Ernst Jünger;1936;1964;1999;PA;Flamboyant Tough Guy;Very High;Kaiserreichjunger2;X
574038;Minister of Armament;Theophilius Wonja Michael;1936;1964;1999;ML;Administrative Genius;Medium;Kaiserreich TW Michael;X
574040;Head of Military Intelligence;Erich Kallmeyer;1936;1964;1999;ML;Logistics Specialist;Medium;Kaiserreich Kallmeyer;X
