ALI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
999280;Head of State;Sarmatia1871;1936;1964;1999;FA;Powerhungry Demagogue;High;palpatine;x
999281;Head of Government;AC;1936;1964;1999;FA;Ambitious Union Boss;High;vader;x
999282;Foreign Minister;Yuriswe;1936;1964;1999;FA;Iron Fisted Brute;High;motti;x
999283;Minister of Armament;Kibbles;1936;1964;1999;FA;Theoretical Scientist;High;jerjerrod;x
999284;Minister of Security;viader;1936;1964;1999;FA;Prince of Terror;High;tarkin;x
999285;Head of Military Intelligence;Fernando;1936;1964;1999;FA;Dismal Enigma;High;tagge;x
999286;Chief of Staff;Matej von Jakubco;1936;1964;1999;FA;School of Psychology;High;piett;x
999287;Chief of Army;Milites;1936;1964;1999;FA;Decisive Battle Doctrine;High;veers;x
999288;Chief of Navy;Jedrek;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;ozzel;x
999289;Chief of Air Force;Arturius;1936;1964;1999;FA;Army Aviation Doctrine;High;needa;x
999290;Chief of Staff;FlyingDutchman;1936;1964;1999;FA;School of Manoeuvre;High;yularen;x
999291;Chief of Air Force;Liam Riordan;1936;1964;1999;FA;Air Superiority Doctrine;High;thrawn;x
999292;Chief of Navy;Zauberfloete;1936;1964;1999;FA;Open Seas Doctrine;High;cabbel;x
999293;Foreign Minister;Kretoxian;1936;1964;1999;FA;Great Compromiser;High;nemet;x
999294;Head of Government;Johnny Canuck;1936;1964;1999;FA;Old General;High;bewill;x
999295;Foreign Minister;Kavak;1936;1964;1999;NS;Ideological Crusader;High;lennox;x
999296;Minister of Armament;ArmyDuck;1936;1964;1999;NS;Military Entrepreneur;High;bast;x
999297;Head of Government;Straczynski;1936;1964;1999;NS;Flamboyant Tough Guy;High;shann;x
999298;Minister of Security;GP93;1936;1964;1999;NS;Efficient Sociopath;High;treidum;x
999299;Head of Military Intelligence;Kornilov;1936;1964;1999;NS;Political Specialist;High;praji;x
