CAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
572001;Head of State;Frank Merriam;1936;1964;1999;SC;Die-hard Reformer;High;M572001;x
572002;Head of Government;Culbert Levy Olson;1936;1964;1999;SD;Smiling Oilman;High;M572002;x
572003;Foreign Minister;Frank E. Homan;1936;1964;1999;PA;Great Compromiser;High;M572003;x
572004;Minister of Armament;Angelo Rossi;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M572004;x
572005;Minister of Security;Patrick J. Quinn;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M572005;x
572006;Head of Military Intelligence;Percy Benbough;1936;1964;1999;SC;Naval Intelligence Specialist;Medium;M572006;x
572007;Chief of Staff;Herbert R. Temple;1936;1964;1999;PA;School of Mass Combat;Medium;M572007;x
572008;Chief of Army;Gene D. James;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M572008;x
572009;Chief of Navy;Joseph Reeves;1936;1964;1999;PA;Power Projection Doctrine;Medium;L60458;x
572010;Chief of Air Force;Leroy Legowik;1936;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M572010;x
572011;Foreign Minister;Frank L. Shaw;1938;1964;1999;PA;Apologetic Clerk;High;M572011;x
572012;Foreign Minister;David Prescott Burrows;1940;1964;1999;PA;General Staffer;High;M572012;x
572013;Foreign Minister;Earl Warren;1944;1964;1999;PA;Ideological Crusader;High;M572013;x
572014;Minister of Armament;Fletcher Bowron;1939;1964;1999;PA;Resource Industrialist;Medium;M572014;x
572015;Minister of Armament;Henry Fountain Ashurst;1940;1964;1999;PA;Submarine Proponent;Medium;M572015;x
572016;Minister of Armament;Harley Knox;1942;1964;1999;PA;Administrative Genius;Medium;M572016;x
572017;Minister of Armament;Newell Stewart;1944;1964;1999;PA;Air to Sea Proponent;Medium;M572017;x
572018;Minister of Security;Tom Monk;1939;1964;1999;PA;Prince of Terror;Medium;M572018;x
572019;Minister of Security;Stewart Udall;1941;1964;1999;PA;Compassionate Gentleman;Medium;M572019;x
572020;Minister of Security;John Dockweiler;1941;1964;1999;PA;Crime Fighter;Medium;M572020;x
572021;Minister of Security;Roger Dearborn Lapham;1944;1964;1999;PA;Silent Lawyer;Medium;M572021;x
572022;Head of Military Intelligence;Arthur D. Ferguson;1938;1964;1999;PA;Dismal Enigma;Medium;M572022;x
572023;Head of Military Intelligence;Douglas Moore;1939;1964;1999;PA;Technical Specialist;Medium;M572023;x
572024;Head of Military Intelligence;Arthur C. Ferguson;1942;1964;1999;PA;Industrial Specialist;Medium;M572024;x
572025;Head of Military Intelligence;Ronald Reagan;1946;1964;1999;PA;Political Specialist;Medium;M572025;x
572026;Chief of Staff;John J. Hartnett;1942;1964;1999;PA;School of Psychology;Medium;M572026;x
572027;Chief of Army;Raymond C. Byrne;1943;1964;1999;PA;Elastic Defence Doctrine;Medium;M572027;x
572028;Chief of Navy;M.H. Dorman;1945;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M572028;x
572029;Chief of Air Force;Ronald E. Shoopman;1941;1964;1999;PA;Air Superiority Doctrine;Medium;M572029;x
572030;Head of Government;Howard Hughes;1936;1964;1999;ML;Flamboyant Tough Guy;Very High;kaiserreich howardhughes;x
572031;Minister of Armament;Howard Hughes;1936;1964;1999;ML;Air Superiority Proponent;Very High;kaiserreich howardhughes;x
572032;Chief of Air Force;Howard Hughes;1936;1964;1999;ML;Army Aviation Doctrine;Very High;kaiserreich howardhughes;x
572033;Head of State;Hiram Johnson;1936;1964;1999;SC;Pig-headed Isolationist;Very High;kaiserreich hiramjohnson;x
572034;Minister of Security;Hiram Johnson;1936;1964;1999;SC;Man of the People;Very High;kaiserreich hiramjohnson;x
572035;Head of Military Intelligence;Harry Chandler;1936;1964;1999;SC;Logistics Specialist;Very High;kaiserreich harry_chandler;x
572036;Foreign Minister;Friend W. Richardson;1936;1964;1999;SC;Great Compromiser;Very High;kaiserreich friend_richardson;x
572037;Minister of Armament;Friend W. Richardson;1936;1964;1999;SC;Corrupt Kleptocrat;Very High;kaiserreich friend_richardson;x
572038;Head of Government;James Rolphs;1936;1964;1999;SC;Backroom Backstabber;Very High;kaiserreich james_rolphs;x
572039;Minister of Security;James Rolphs;1936;1964;1999;SC;Silent Lawyer;Very High;kaiserreich james_rolphs;x
572040;Foreign Minister;Frank Merriam;1936;1964;1999;SC;Biased Intellectual;Very High;kaiserreich frank_merriam;x
