KYG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
521001;Head of State;Igor P. Donyak;1936;1964;1999;LE;Stern Imperialist;High;M521001;X
521002;Head of Government;Nikolai Bogolyubhov;1936;1964;1999;LE;Corporate Suit;High;M521002;X
521003;Foreign Minister;Maksim Ammosov;1936;1964;1999;LE;Ideological Crusader;High;M521003;X
521004;Minister of Armament;Kalina Amankulova;1936;1964;1999;LE;Administrative Genius;Medium;M521004;X
521005;Minister of Security;Turabej Kuletov;1936;1964;1999;LE;Man of the People;Medium;M521005;X
521006;Head of Military Intelligence;Igor N. Barakhov;1936;1964;1999;LE;Political Specialist;Medium;M521006;X
521007;Chief of Staff;Karun Dushebaev;1936;1964;1999;LE;School of Psychology;Medium;M521007;X
521008;Chief of Army;Nazhe Dudin;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;M526040;X
521009;Chief of Navy;Egor Rall;1936;1964;1999;LE;Power Projection Doctrine;Medium;L10438;X
521010;Chief of Air Force;Tryfil Sokolov;1936;1964;1999;LE;Air Superiority Doctrine;Medium;M521010;X
521011;Head of State;Ivan F. Sokolov;1936;1964;1999;SD;Pig-headed Isolationist;High;M521011;X
521012;Head of State;Baten Dzhumabayev;1936;1964;1999;ML;Autocratic Charmer;High;M521012;X
521013;Head of State;Kazym Tynystanov;1936;1964;1999;PA;Ruthless Powermonger;High;M521013;X
521014;Head of Government;Maksim Rebrov;1936;1964;1999;SD;Flamboyant Tough Guy;High;M521014;X
521015;Head of Government;Andrej V. Sokolov;1936;1964;1999;ML;Happy Amateur;High;M521015;X
521016;Head of Government;Zeki Validov;1936;1964;1999;PA;Smiling Oilman;High;M521016;X
521017;Foreign Minister;Abdukadyr Urazbekov;1936;1964;1999;LE;General Staffer;High;M521017;X
521018;Foreign Minister;Yosip Abdrokhmanov;1936;1964;1999;LE;Great Compromiser;High;M521018;X
521019;Foreign Minister;Nachum Sokolov;1936;1964;1999;SD;Biased Intellectual;High;M521019;X
521020;Foreign Minister;Gulzat Everstov;1936;1964;1999;SD;Apologetic Clerk;High;M521020;X
521021;Foreign Minister;Nazira Dauletova;1936;1964;1999;ML;Apologetic Clerk;High;M521021;X
521022;Foreign Minister;Mukhtar Dzhangalin;1936;1964;1999;PA;Great Compromiser;High;M521022;X
521023;Foreign Minister;Vassil Dyankonov;1936;1964;1999;PA;Iron Fisted Brute;High;M521023;X
521024;Minister of Armament;Abdulzhatir Jildizbek;1936;1964;1999;LE;Infantry Proponent;Medium;M521024;X
521025;Minister of Armament;Sultankul Shamurzin;1936;1964;1999;LE;Air to Ground Proponent;Medium;M521025;X
