TRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
523001;Head of State;Pyotr N. Krasnov;1936;1964;1999;PA;Benevolent Gentleman;High;Mrus krasnov;X
523002;Head of Government;Pyotr N. Krasnov;1936;1964;1999;PA;Happy Amateur;High;Mrus krasnov;X
523003;Foreign Minister;Grigory Grinko;1936;1964;1999;LWR;Great Compromiser;High;M523003;X
523004;Minister of Armament;Nikolay Bryukhanov;1936;1954;1999;LWR;Planned Economy Proponent;Medium;M523004;X
523005;Minister of Security;Vselevod Merkulov;1936;1964;1999;LWR;Back Stabber;Medium;M523005;X
523006;Head of Military Intelligence;Grigorij Sokolnikov;1936;1964;1999;LWR;Dismal Enigma;Medium;M523006;X
523007;Chief of Staff;Keldysh Nikitin;1936;1964;1999;LWR;School of Defence;Medium;M523007;X
523008;Chief of Army;Osip Fokine;1936;1964;1999;LWR;Decisive Battle Doctrine;Medium;M523008;X
523009;Chief of Navy;Rurik Ertelkin;1936;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;L502013;X
523010;Chief of Air Force;Genneadij Abakumov;1936;1964;1999;LWR;Army Aviation Doctrine;Medium;M523010;X
523011;Head of State;Luka L. Bych;1936;1964;1999;ML;Popular Figurehead;High;TRA_Bych;X
523012;Head of State;The Tsar Of All The Russias;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
523013;Head of Government;Luka L. Bych;1936;1964;1999;ML;Silent Workhorse;Very High;TRA_Bych;X
523014;Head of Government;Mikhail N. Grabbe;1936;1964;1999;PA;Respected War Hero;Very High;TRA_Grabbe;X
523015;Foreign Minister;Nikolay Voznesensky;1936;1964;1999;LWR;Biased Intellectual;High;M523015;X
523016;Foreign Minister;Vsevolod Tomashevsky;1936;1964;1999;ML;Apologetic Clerk;High;M523016;X
523017;Foreign Minister;Sergei Bernstein;1936;1964;1999;ML;Iron Fisted Brute;High;M523017;X
523018;Foreign Minister;Alexander P. Filimonov;1936;1964;1999;PA;General Staffer;Very High;TRA_Filimonov;X
523019;Foreign Minister;Vladimir Orlov;1936;1964;1999;PA;Iron Fisted Brute;High;M523019;X
523020;Minister of Armament;Maksim Saburov;1936;1964;1999;LWR;Theoretical Scientist;Medium;M523020;X
523021;Minister of Armament;Nikolay Derzhavin;1936;1953;1999;ML;Balanced Budget Economy;Medium;M523021;X
523022;Minister of Armament;Nikolay Krylov;1936;1955;1999;ML;Theoretical Scientist;Medium;M523022;X
523023;Minister of Armament;Vasiliy N. Ivanis;1936;1970;1999;PA;Reformer;Very High;TRA_Ivanis;X
523024;Minister of Armament;Pavel Vorony;1936;1964;1999;PA;Resource Industrialist;Medium;M523024;X
523025;Minister of Armament;Dimitri Grabbe-Nikitin;1936;1947;1999;PA;Infantry Proponent;Medium;M523025;X
523026;Minister of Security;Gennadij Smirnov;1936;1964;1999;LWR;Compassionate Gentleman;Medium;M526026;X
523027;Minister of Security;Viktor Abakumov;1936;1964;1999;LWR;Prince of Terror;Medium;M523027;X
523028;Minister of Security;Vladimir Shimkevich;1936;1964;1999;ML;Efficient Sociopath;Medium;M523028;X
523029;Minister of Security;Nikita Günther;1936;1964;1999;ML;Crime Fighter;Medium;M523029;X
523030;Minister of Security;Grigoriy Y. Kislov;1936;1964;1999;PA;Crime Fighter;Very High;TRA_Kislov;X
523031;Minister of Security;Shavrov Nikitin;1936;1964;1999;PA;Crime Fighter;Medium;M523031;X
523032;Head of Military Intelligence;Aleksandr Ivanov;1936;1964;1999;LWR;Industrial Specialist;Medium;M523032;X
523033;Head of Military Intelligence;Yurtsev Smirnov;1936;1964;1999;ML;Technical Specialist;Medium;M523033;X
523034;Head of Military Intelligence;Boris Galerkin;1936;1964;1999;ML;Dismal Enigma;Medium;M523034;X
523036;Head of Military Intelligence;Ivan A. Polyakov;1936;1964;1999;PA;Logistics Specialist;Very High;TRA_Polyakov;X
523037;Chief of Staff;Vasili Chebykimov;1936;1964;1999;ML;School of Fire Support;Medium;M523037;X
523038;Chief of Staff;Pyotr K. Popov;1936;1960;1999;PA;School of Manoeuvre;Very High;TRA_Popov;X
523039;Chief of Army;Alesksandr Saburov;1936;1964;1999;LWR;Elastic Defence Doctrine;Medium;M523039;X
523040;Chief of Army;Volya Borshevski;1936;1964;1999;ML;Armoured Spearhead Doctrine;Medium;Barshevski;X
523041;Chief of Army;Igor Kovlon;1964;1964;1999;PA;Static Defence Doctrine;Medium;M523041;X
523042;Chief of Army;Aleksandr V. Golubintzev;1936;1964;1999;PA;Elastic Defence Doctrine;Very High;TRA_Golubintzev;X
523043;Chief of Navy;Ignatz Dmyrkin;1936;1964;1999;ML;Open Seas Doctrine;Medium;L504000;X
523044;Chief of Navy;Dimitriy Sakarski;1936;1964;1999;PA;Indirect Approach Doctrine;Medium;M520034;X
523045;Chief of Air Force;Nikifor Gapon;1936;1964;1999;ML;Carpet Bombing Doctrine;Medium;M523045;X
523046;Chief of Air Force;Nikolay A. Bukretov;1936;1942;1999;PA;Army Aviation Doctrine;Very High;TRA_Bukretov;X
523047;Head of State;Gavriil of Don;1936;1964;1999;PA;Popular Figurehead;High;Gavriil;X
523048;Head of Government;Gavriil of Don;1936;1964;1999;PA;Silent Workhorse;High;Gavriil;X
523049;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;X
523050;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;X
523051;Head of State;Peoples' Council of DKU;1936;1964;1999;LE;Popular Figurehead;High;Mrus Sovnarkom;X
523052;Head of Government;Valentin Trifonov;1936;1964;1999;LWR;Ambitious Union Boss;High;kai_TRAvlttrf;X
523053;Head of Government;Sergei Syrcov;1936;1964;1999;ST;Totalist Chairman;High;kai_TRAsrgsrc;X
523054;Minister of Armament;Sergey Lukashin;1936;1964;1999;LWR;Industrialiser;Medium;kai_TRAsrglksh;X
523055;Chief of Staff;Mikhail Svechnikov;1936;1948;1999;LE;School of Mass Combat;Medium;kai_TRAmkhlschve;X
523056;Chief of Navy;Nikolai Muralov;1936;1964;1999;ST;Open Seas Doctrine;Medium;kai_TRAnklmrlv;X
523057;Chief of Air Force;Terentiy Dmitreevich Deribas;1936;1964;1999;LE;Air Superiority Doctrine;Medium;kai_TRAtrntderdr;X
523058;Chief of Navy;Under Army Command;1936;1970;1999;PA;Base Control Doctrine;Very High;TRA_Navy;X
523059;Chief of Navy;Grigory I. Shchedrin;1950;1970;1999;ML;Indirect Approach Doctrine;High;LGrigory_Ivanovich_Shchedrin;X
523060;Chief of Navy;Ivan A. Kononov;1936;1959;1999;SC;Decisive Naval Battle Doctrine;High;Kononov;X
523061;Chief of Air Force;Viktor L. Pokrovsky;1936;1955;1999;FA;Air Superiority Doctrine;High;L500069;X
523062;Chief of Air Force;Fedor E. Konovalov;1936;1970;1999;SD;Vertical Envelopment Doctrine;High;LFedor_Evgenievich_Konovalov;X
523063;Chief of Air Force;Ivan I. Petrozhitsky;1936;1970;1999;LWR;Carpet Bombing Doctrine;High;LIvan_Iozifovich_Petrozhitsky;X
523064;Chief of Air Force;Vyacheslav G. Baranov;1936;1964;1999;PA;Army Aviation Doctrine;High;LVyacheslav_Grigorievich_Baranov;X
523065;Chief of Air Force;Yevgeny Y. Savitsky;1948;1970;1999;SD;Air Superiority Doctrine;High;LYevgeny_Yakovlevich_Savitsky;X
523066;Chief of Staff;Grigory Y. Kislov;1936;1964;1999;PA;School of Mass Combat;High;TRA_Kislov;X
523067;Chief of Army;Grigory Y. Kislov;1936;1964;1999;PA;Guns and Butter Doctrine;High;TRA_Kislov;X
523068;Chief of Staff;Andrei G. Shkuro;1936;1954;1999;FA;School of Manoeuvre;High;LShkuroAG;X
523069;Chief of Army;Andrei G. Shkuro;1936;1954;1999;FA;Doctrine of Autonomy;High;LShkuroAG;X
523070;Chief of Staff;Vasiliy N. Ivanis;1936;1970;1999;PA;School of Fire Support;High;TRA_Ivanis;X
523071;Chief of Army;Vasiliy N. Ivanis;1936;1970;1999;PA;Armoured Spearhead Doctrine;High;TRA_Ivanis;X
523072;Chief of Staff;Vasily S. Popov;1948;1968;1999;LWR;School of Mass Combat;High;LVasily_Stepanovich_Popov;X
