IND;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
59001;Head of State;Osman Ali Khan;1936;1967;1999;FA;Powerhungry Demagogue;High;INDOsm;X
59002;Head of Government;Council of Princes;1936;1964;1999;PA;The Gun-Salute Legislature;High;INDPri;X
59003;Foreign Minister;Maharaja Kishen Pershad;1936;1964;1999;PA;Great Compromiser;High;INDKis;X
59004;Minister of Armament;Mokshagundam Visveswaraiah;1936;1962;1999;PA;Construction Magnate;High;INDMok;X
59005;Minister of Security;Albion Rajkumar Banerjee;1936;1964;1999;PA;Silent Lawyer;Very High;INDAlb;X
59006;Head of Military Intelligence;Nawab Nisar Ahmed Khan;1936;1964;1999;PA;Political Specialist;High;INDNis;X
59007;Chief of Staff;Osman Ali Khan;1936;1967;1999;PA;School of Fire Support;High;INDOsm;X
59008;Chief of Army;Nawab Khwaja Habibullah Bahadur;1936;1958;1999;PA;Elastic Defence Doctrine;High;INDHab;X
59009;Chief of Navy;Mir Ahmed Ali;1936;1950;1999;PA;Riverine Warfare Doctrine;Medium;INDMir;X
59010;Chief of Air Force;Mir Yousuf Ali Khan;1936;1949;1999;PA;Aviation Organizer;High;INDYou;X
59011;Head of State;Krishna Raja Wadiyar IV;1960;1964;1999;SC;Benevolent Gentleman;High;INDKri;X
59012;Head of State;Jayachamarajendra Wadiyar;1960;1964;1999;SC;Popular Figurehead;High;INDJay;X
59013;Head of Government;Mirza Muhammad Ismail;1936;1964;1999;SC;Silent Workhorse;High;INDMirz;X
59014;Head of Government;Krushna Chandra Gajapati;1936;1964;1999;PA;Respected War Hero;High;INDKru;X
59015;Foreign Minister;Muhammad Ahmad Said Khan Chhatari;1936;1964;1999;PA;General Staffer;High;INDMuh;X
59016;Foreign Minister;Chithira Thirunal Balarama Varma;1936;1964;1999;PA;Apologetic Clerk;High;INDChi;X
59017;Foreign Minister;Krushna Chandra Gajapati;1936;1964;1999;PA;Ideological Crusader;High;INDKru;X
59018;Foreign Minister;Mirza Muhammad Ismail;1936;1964;1999;PA;Biased Intellectual;High;INDMirz;X
59019;Minister of Armament;Akbar Hydari;1936;1964;1999;SC;Keynesian Economy;High;INDAkb;X
59020;Minister of Armament;George Jivajirao Scindia;1936;1964;1999;PA;Military Entrepreneur;High;INDGeo;X
59021;Minister of Armament;Aga Khan III;1936;1957;1999;PA;Administrative Genius;High;INDAga;X
59022;Minister of Security;T. Raghavaiah;1936;1964;1999;PA;Efficient Sociopath;Very High;INDRag;X
59023;Minister of Security;Sayyid Wasif Ali Mirza Khan Bahadur;1936;1964;1999;PA;Compassionate Gentleman;Very High;INDSay;X
59024;Minister of Security;Syed Kasim Razvi;1936;1964;1999;PA;Prince of Terror;Very High;INDKas;X
59025;Minister of Security;Nawab Muhammad Habibullah;1936;1964;1999;PA;Back Stabber;Very High;INDHabi;X
59026;Head of Military Intelligence;Jayanto Nath Chaudhuri;1946;1970;1999;SC;Technical Specialist;High;INDChaur;X
