NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
55001;Head of State;George de Vere Viscount Galway;1936;1964;1999;SD;Stern Imperialist;High;M55001;X
55002;Head of Government;Michael Joseph Savage;1936;1964;1999;SD;Silent Workhorse;High;M55002;X
55003;Foreign Minister;Michael Joseph Savage;1936;1964;1999;SD;Great Compromiser;Very High;M55002;X
55004;Minister of Armament;Walter Nash;1936;1964;1999;SD;Resource Industrialist;High;M55004;X
55005;Minister of Security;William Parry;1936;1964;1999;SD;Compassionate Gentleman;High;M55005;X
55006;Head of Military Intelligence;Kenneth Folkes;1936;1964;1999;SD;Dismal Enigma;Medium;M55006;X
55007;Chief of Staff;William Sinclair-Burgess;1936;1964;1999;ML;School of Mass Combat;High;M55007;X
55008;Chief of Army;William Sinclair-Burgess;1936;1964;1999;ML;Elastic Defence Doctrine;High;M55007;X
55009;Chief of Navy;E.R. Drummond;1936;1964;1999;ML;Base Control Doctrine;High;M55009;X
55010;Chief of Air Force;R.A. Cochrane;1936;1964;1999;ML;Air Superiority Doctrine;High;M55010;X
55032;Head of State;George de Vere Viscount Galway;1936;1964;1999;SC;Stern Imperialist;High;M55001;X
55033;Head of State;Norton Louis Baron Newall;1941;1964;1999;SD;Autocratic Charmer;High;M55033;X
55034;Head of State;Norton Louis Baron Newall;1941;1964;1999;ML;Autocratic Charmer;High;M55033;X
55035;Head of State;Bernhard Baron Freyberg;1946;1964;1999;SD;Resigned Generalissimo;High;M55035;X
55036;Head of State;Bernhard Baron Freyberg;1946;1964;1999;ML;Resigned Generalissimo;High;M55035;X
55037;Head of Government;Adam Hamilton;1938;1964;1999;SC;Corporate Suit;High;M55037;X
55038;Head of Government;Peter Fraser;1940;1964;1999;SD;Political Protege;High;M55038;X
55039;Head of Government;Sydney Holland;1943;1964;1999;SC;Smiling Oilman;High;M55039;X
55040;Foreign Minister;Frank Langstone;1938;1964;1999;SD;Ideological Crusader;Low;M55040;X
55041;Foreign Minister;Peter Fraser;1940;1964;1999;SD;Biased Intellectual;Very High;M55038;X
55042;Foreign Minister;Walter Nash;1945;1964;1999;SD;Apologetic Clerk;High;M55004;X
55043;Foreign Minister;James Allen;1938;1964;1999;ML;Great Compromiser;Very High;M55043;X
55044;Foreign Minister;Adam Hamilton;1938;1964;1999;SC;Apologetic Clerk;Very High;M55037;X
55045;Foreign Minister;William Sinclair-Burgess;1940;1964;1999;SC;General Staffer;High;M55007;X
55046;Foreign Minister;Gordon Coates;1942;1964;1999;SC;The Cloak N Dagger Schemer;High;M55046;X
55047;Foreign Minister;Sydney Holland;1943;1964;1999;SC;Great Compromiser;Very High;M55039;X
55048;Minister of Armament;Dan Sullivan;1936;1964;1999;SD;Resource Industrialist;High;M55048;X
55049;Minister of Armament;William J. Jordan;1939;1964;1999;SD;Laissez-Faire Capitalist;High;M55049;X
55050;Minister of Armament;L.M. Isitt;1939;1964;1999;SD;Air to Sea Proponent;High;M55050;X
55051;Minister of Armament;Keith J. Holyoake;1944;1964;1999;SD;Military Entrepreneur;High;M55051;X
55052;Minister of Armament;W.E. Parry;1942;1964;1999;ML;Submarine Proponent;High;M55052;X
55053;Minister of Armament;R.A. Cochrane;1936;1964;1999;SC;Air Superiority Proponent;High;M55010;X
55054;Minister of Armament;Sydney Holland;1938;1964;1999;SC;Laissez-Faire Capitalist;High;M55039;X
55055;Minister of Armament;A. de Terrotte Neville;1939;1964;1999;SC;Strategic Air Proponent;High;M55055;X
