LAT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
27001;Head of State;S.M. Adolf Friedrich I;1936;1964;1999;FA;German Aristocrat;High;kaiserreich adolffriedrich;X
27002;Head of Government;Andrievs Niedra;1936;1964;1999;FA;Political Protege;High;Kaiserreich Andrievs Niedra;X
27003;Foreign Minister;Alfred Rosenberg;1936;1964;1999;NS;Biased Intellectual;High;Kaiserreich Alfred Rosenberg;X
27004;Minister of Armament;Heinrich Freiherr von Stackelberg;1936;1964;1999;FA;Administrative Genius;High;Kaiserreich von Stackelberg;X
27005;Minister of Security;Kurt Georg Andersen;1936;1964;1999;PA;Crime Fighter;High;Kaiserreich Kurt Andersen;X
27006;Head of Military Intelligence;Walter Zapp;1936;1964;1999;PA;Technical Specialist;High;Kaiserreich Walter Zapp;X
27007;Chief of Staff;Rüdiger von der Goltz;1936;1964;1999;FA;School of Psychology;High;Kaiserreich von der Goltz;X
27008;Chief of Army;Johan Laidoner;1936;1964;1999;PA;Static Defence Doctrine;Medium;M26008;X
27009;Chief of Navy;Alexander von Salza;1936;1964;1999;FA;Decisive Naval Battle Doctrine;High;Kaiserreich von Salza;X
27010;Chief of Air Force;Bruno Loerzer;1936;1964;1999;FA;Army Aviation Doctrine;High;Kaiserreich Bruno Loerzer;X
27087;Chief of Air Force;Piotr Skut;1936;1970;1999;FA;Air Superiority Doctrine;High;Kaiserreich Skut;X
27011;Head of Government;Oskars Dankers;1941;1964;1999;NS;Happy Amateur;High;M27039;X
27012;Head of Government;Paul Schiemann;1936;1964;1999;SC;Silent Workhorse;High;Kaiserreich Paul Schiemann;X
27013;Head of Government;Otto Tief;1937;1964;1999;ML;Happy Amateur;High;M26038;X
27014;Head of State;Reinhard Heydrich;1936;1964;1999;NS;Ruthless Powermonger;Very High;M244;X
27015;Head of Government;Reinhard Heydrich;1936;1964;1999;NS;Political Protege;Very High;M244;X
27016;Head of Government;Rüdiger von der Goltz;1936;1964;1999;FA;Old General;High;Kaiserreich von der Goltz;X
27017;Head of Government;Jüri Uluots;1936;1964;1999;ML;Smiling Oilman;High;M26032;X
27018;Head of Government;Reinhold K. Zariñs;1940;1964;1999;SC;Political Protege;High;M27012;X
27019;Foreign Minister;Viktor von Marnitz;1936;1964;1999;PA;General Staffer;Medium;Kaiserreich von Marnitz;X
27021;Foreign Minister;Paul Schiemann;1936;1964;1999;SC;Great Compromiser;High;Kaiserreich Paul Schiemann;X
27022;Minister of Armament;Konstantin Päts;1939;1964;1999;PA;Administrative Genius;Medium;M26001;X
27023;Minister of Armament;Alfred Vendt;1936;1964;1999;FA;Military Entrepreneur;Medium;M26014;X
27024;Minister of Armament;Peter von Weymarn;1936;1964;1999;SC;Theoretical Scientist;High;Kaiserreich von Weymarn;X
27025;Minister of Armament;Leo Sepp;1936;1964;1999;ML;Resource Industrialist;Medium;M26056;X
27026;Minister of Armament;Gerhard Krull;1936;1964;1999;PA;Laissez-Faire Capitalist;High;Kaiserreich Gerhard Krull;X
27027;Minister of Armament;Alexander von Salzar;1936;1964;1999;FA;Battle Fleet Proponent;High;Kaiserreich von Salza;X
27028;Minister of Armament;Hugo Pärtelpoeg;1940;1964;1999;ML;Laissez-Faire Capitalist;Medium;M26057;X
27029;Minister of Armament;Edgars Andersons;1945;1964;1999;SC;Military Entrepreneur;Medium;M27014;X
27030;Minister of Security;Reinhard Heydrich;1936;1964;1999;NS;Prince of Terror;Very High;M244;X
27031;Minister of Security;Johannes Klesment;1936;1964;1999;ML;Compassionate Gentleman;Medium;M26067;X
27032;Minister of Security;Julius Seljamaa;1938;1964;1999;PA;Prince of Terror;Medium;M26003;X
27033;Minister of Security;Karl Sigismund Litzmann;1938;1964;1999;FA;Back Stabber;Low;M26035;X
27034;Minister of Security;Carl Immanuel Hesse;1936;1964;1999;SC;Man of the People;High;Kaiserreich Carl Immanuel Hesse;X
27035;Minister of Security;August Jürima;1939;1964;1999;ML;Crooked Kleptocrat;Medium;M26066;X
27036;Head of Military Intelligence;Wessel von Loringhoven;1936;1964;1999;PA;Dismal Enigma;High;Kaiserreich von Loringhoven;X
27037;Head of Military Intelligence;Oskar Angelus;1936;1964;1999;NS;Logistics Specialist;Medium;M26015;X
27038;Head of Military Intelligence;Jüri Uluots;1936;1964;1999;ML;Industrial Specialist;Medium;M26032;X
27039;Head of Military Intelligence;Reinhold K. Zarins;1936;1964;1999;SC;Technical Specialist;Medium;M27012;X
27040;Head of Military Intelligence;Fricis Celmins;1936;1964;1999;SC;Dismal Enigma;Medium;M27016;X
27041;Head of Military Intelligence;Hans Heinrich Lohse;1941;1964;1999;NS;Industrial Specialist;Medium;M27031;X
27042;Head of Military Intelligence;Erich Koch;1940;1964;1999;NS;Logistics Specialist;Medium;M27087;X
27043;Chief of Staff;Kurt Jahn;1936;1964;1999;FA;School of Fire Support;High;Kaiserreich Kurt Jahn;X
27044;Chief of Staff;Johan Holberg;1941;1964;1999;ML;School of Defence;Medium;M26084;X
27045;Chief of Staff;Johannes Soodla;1936;1964;1999;NS;School of Psychology;High;M26017;X
27046;Chief of Staff;Verners Tefpers;1936;1964;1999;SC;School of Manoeuvre;Medium;M27017;X
27047;Chief of Staff;Heinrich Baron von Behr;1936;1964;1999;FA;School of Mass Combat;High;Kaiserreich Baron von Behr;X
27048;Chief of Staff;Alexander Jaakson;1936;1964;1999;ML;School of Fire Support;Medium;M26083;X
27049;Chief of Staff;Robert Ritter von Doser;1936;1964;1999;NS;School of Mass Combat;High;Kaiserreich von Doser;X
27050;Chief of Staff;Kurt Georg Andersen;1940;1964;1999;PA;School of Psychology;High;Kaiserreich Kurt Andersen;X
27051;Chief of Staff;Viktor von Marnitz;1941;1964;1999;PA;School of Defence;Medium;Kaiserreich von Marnitz;X
27052;Chief of Army;Otto Hellmich;1941;1964;1999;NS;Elastic Defence Doctrine;Medium;M27107;X
27053;Chief of Army;Robert Ritter von Doser;1936;1964;1999;NS;Decisive Battle Doctrine;High;Kaiserreich von Doser;X
27054;Chief of Army;Richard Veermaa;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M26065;X
27055;Chief of Army;Rüdiger von der Goltz;1937;1964;1999;FA;Static Defence Doctrine;High;Kaiserreich von der Goltz;X
27056;Chief of Army;Hans Henrici;1936;1964;1999;FA;Guns and Butter Doctrine;High;Kaiserreich Hans Henrici;X
27057;Chief of Army;Wessel von Loringhoven;1936;1964;1999;PA;Armoured Spearhead Doctrine;High;Kaiserreich von Loringhoven;X
27058;Chief of Army;Karl Dormagen;1936;1964;1999;PA;Elastic Defence Doctrine;High;Kaiserreich Karl Dormagen;X
27059;Chief of Navy;Janis Andersons;1936;1964;1999;SC;Base Control Doctrine;Low;M27033;X
27060;Chief of Navy;Alex Nirk;1936;1964;1999;ML;Power Projection Doctrine;Medium;M26094;X
27061;Chief of Navy;Alfred Vendt;1936;1964;1999;FA;Indirect Approach Doctrine;Medium;M26014;X
27062;Chief of Navy;Rudolf Schiller;1936;1964;1999;NS;Power Projection Doctrine;High;Kaiserreich Rudolf Schiller;X
27063;Chief of Navy;Konstantins Cakste;1941;1964;1999;NS;Base Control Doctrine;Medium;M27097;X
27064;Chief of Navy;Janis Andersons;1936;1964;1999;SC;Base Control Doctrine;Low;M27033;X
27065;Chief of Air Force;Edgars Andersons;1945;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M27014;X
27066;Chief of Air Force;Leo Sepp;1936;1964;1999;ML;Carpet Bombing Doctrine;Medium;M26056;X
27067;Chief of Air Force;Rudolfs Bangerskis;1936;1964;1999;PA;Army Aviation Doctrine;Low;M27008;X
27068;Chief of Air Force;Erich Alt;1936;1964;1999;FA;Air Superiority Doctrine;High;Kaiserreich Erich Alt;X
27069;Foreign Minister;Johannes Kabin;1936;1964;1999;SD;Great Compromiser;Very High;kaiserreich_johanneskab;X
27070;Head of State;Viktor Kingisepp;1936;1964;1999;LE;Ruthless Powermonger;Very High;kaiserreich_viktorkingi;X
27071;Head of Government;August Rei;1936;1964;1999;SD;Ambitious Union Boss;Very High;M26031;X
27072;Chief of Army;Andres Larka;1936;1964;1999;SC;Guns and Butter Doctrine;High;kaiserreich_andresla;X
27073;Chief of Staff;Ernst Podder;1936;1964;1999;SC;School of Defence;High;kaiserreich_ernstpod;X
27074;Minister of Security;Viktor Puskar;1936;1964;1999;SC;Man of the People;High;kaiserreich_viktorpus;X
27075;Head of Military Intelligence;Artur Sirk;1936;1964;1999;PA;Dismal Enigma;Medium;kaiserreich_artursik;X
27076;Minister of Security;Villis Lacis;1936;1964;1999;LWR;Compassionate Gentleman;High;kaiserreich_villisla;X
27077;Minister of Armament;Genrich Eiche;1936;1964;1999;LWR;Resource Industrialist;High;;X
27078;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;X
27079;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;X
27080;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;X
27081;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
27082;Head of State;Nikolai Yudenich;1936;1964;1999;PA;Weary Stiffneck;High;LatYudenich;X
27083;Head of Government;Nikolai Yudenich;1936;1964;1999;PA;Old General;Very High;LatYudenich;X
