POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
13001;Head of State;Janusz Radziwill;1936;1964;1999;PA;Weary Stiffneck;Very High;M13104;X
13002;Head of Government;Zdzislaw Lubomirski;1936;1964;1999;PA;Naive Optimist;Very High;kaiserreich zlubomirski;X
13003;Foreign Minister;Jan hr. Szembek;1936;1964;1999;PA;Great Compromiser;Low;M13013;X
13004;Minister of Armament;Andrzej Wierzbicki;1936;1964;1999;PA;Laissez-Faire Capitalist;High;kaiserreich AndrzejWierzbicki;X
13005;Minister of Security;Stanislaw Bukowiecki;1936;1964;1999;PA;Crime Fighter;Very High;kaiserreich StanislawBukowiecki;X
13006;Head of Military Intelligence;Marian Rejewski;1936;1964;1999;PA;Technical Specialist;High;kaiserreich MarianRejewski;X
13007;Chief of Staff;Wladyslaw Sikorski;1936;1964;1999;PA;School of Manoeuvre;Medium;M13043;X
13008;Chief of Army;Wladyslaw Sikorski;1936;1948;1999;PA;Guns and Butter Doctrine;Medium;M13043;X
13009;Chief of Navy;Jerzy Swirski;1936;1964;1999;PA;Open Seas Doctrine;Medium;M13009;X
13010;Chief of Air Force;Józef Zajac;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M13010;X
13011;Head of State;J.K.W. Fryderyk Krystian Saski;1936;1964;1999;PA;Pig-headed Isolationist;High;kaiserreich FK Wettin;X
13014;Head of State;J.K.W. Eustachy I Sapieha;1936;1964;1999;PA;Pig-headed Isolationist;Very High;kaiserreich esapieha;X
13015;Head of State;J.K.W. Karol Olbracht Habsburg;1936;1964;1999;SC;Stern Imperialist;Very High;kaiserreich karlalbrechtvh;X
13018;Head of State;Maciej Rataj;1938;1964;1999;SL;Insignificant Layman;Very High;rataj;X
13019;Head of State;Feliks Dzierzynski;1936;1964;1999;ST;Powerhungry Demagogue;Very High;kaiserreich feliksdzierzynski;X
13020;Head of State;Jakub Hanecki;1938;1964;1999;ST;Powerhungry Demagogue;Very High;kaiserreich jhanecki;X
13021;Head of State;Roman Dmowski;1936;1964;1999;NS;Stern Imperialist;High;M13050;X
13022;Head of State;Adam Doboszyñski;1936;1964;1999;NS;Powerhungry Demagogue;Very High;kaiserreich adoboszynski;X
13098;Head of State;Tadeusz Bielecki;1936;1964;1999;NS;Barking Buffoon;High;M13051;X
13023;Head of State;Gabriel Narutowicz;1936;1964;1999;SL;Insignificant Layman;High;kaiserreich gnarutowicz;X
13025;Head of State;Norbert Barlicki;1936;1964;1999;SD;Die-hard Reformer;High;M13021;X
13026;Head of State;Ignacy Jan Paderewski;1936;1964;1999;SC;Weary Stiffneck;High;M13036;X
13028;Head of State;Stanislaw Wojciechowski;1936;1964;1999;SD;Insignificant Layman;High;kaiserreich swojciechowski;X
13134;Head of State;Jan Wolski;1936;1964;1999;LWR;Die-hard Reformer;High;kaiserreich jwolski;X
13146;Head of State;Karol Radek;1938;1964;1999;ST;Ruthless Powermonger;High;kaiserreich kradek;X
13174;Head of State;Roza Luksemburg;1938;1964;1999;ST;Die-hard Reformer;High;kaiserreich rluksemburg;X
13101;Head of State;J.K.W. Janusz I Radziwill;1936;1964;1999;FA;Autocratic Charmer;Very High;M13104;X
13063;Head of State;Eustachy Sapieha;1936;1964;1999;PA;Pig-headed Isolationist;Very High;kaiserreich esapieha;X
13168;Head of State;The Tsar Of All Russians;1936;1964;1999;PA;Popular Figurehead;High;Mrus Tsar;X
13038;Head of State;Mieczyslaw Michalowicz;1936;1964;1999;ML;Die-hard Reformer;High;kaiserreich mmichalowicz;X
13029;Head of Government;Adolf hr. Bninski;1936;1964;1999;PA;Political Protege;Very High;kaiserreich abninski;X
13030;Head of Government;Karol Radek;1936;1964;1999;ST;Silent Workhorse;High;kaiserreich kradek;X
13031;Head of Government;Alfred Lampe;1938;1964;1999;ST;Naive Optimist;High;kaiserreich alampe;X
13032;Head of Government;Adam Doboszyñski;1936;1964;1999;NS;Flamboyant Tough Guy;High;kaiserreich adoboszynski;X
