QUE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
582001;Head of State;H.R.M. Louis Napoleon;1963;1964;1999;PA;Autocratic Charmer;High;M582001;X
582002;Head of Government;Adélard Godbout;1936;1964;1999;PA;Naive Optimist;High;M582002;X
582003;Foreign Minister;David Roux;1936;1964;1999;PA;The Cloak N Dagger Schemer;High;M582003;X
582004;Minister of Armament;Romain Barriere;1936;1964;1999;PA;Battle Fleet Proponent;Medium;M582004;X
582005;Minister of Security;Jacques Moreau;1936;1964;1999;PA;Man of the People;Medium;M582005;X
582006;Head of Military Intelligence;Pierre La Liberte;1936;1964;1999;PA;Industrial Specialist;Medium;M582006;X
582007;Chief of Staff;Pierre Boutet;1936;1964;1999;PA;School of Psychology;Medium;L52008;X
582008;Chief of Army;Pierre-Édouard Leclerc;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;L52035;X
582009;Chief of Navy;Antoine Powell;1936;1964;1999;PA;Open Seas Doctrine;Medium;M582009;X
582010;Chief of Air Force;Jean Gabriel Fultz;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;L52103;X
582101;Head of State;David Côté;1936;1964;1999;LE;Benevolent Gentleman;High;;X
582102;Head of Government;David Côté;1936;1964;1999;LE;Ambitious Union Boss;High;;X
582103;Foreign Minister;Thérèse Casgrain;1936;1964;1999;LWR;Ideological Crusader;High;Kaiserreich_QUE_Therese_Casgrain;X
582104;Minister of Armament;Adelard Laurendeau;1936;1964;1999;LWR;Resource Industrialist;High;;X
582105;Minister of Security;Aurèle Lacombe;1936;1964;1999;LWR;Man of the People;High;;X
582106;Head of Military Intelligence;Joseph Gauthier;1936;1964;1999;LWR;Political Specialist;High;kaiserreich_QUE_Gauthier;X
582107;Chief of Staff;Paul Gouin;1936;1964;1999;SD;School of Manoeuvre;High;Kaiserreich_QUE_Paul_Gouin;X
582108;Chief of Army;Paul Gouin;1936;1964;1999;SD;Armoured Spearhead Doctrine;High;Kaiserreich_QUE_Paul_Gouin;X
582109;Foreign Minister;Aurèle Lacombe;1936;1964;1999;LWR;Biased Intellectual;High;;X
582110;Head of State;Maurice Duplessis;1936;1964;1999;SC;Stern Imperialist;High;Maurice_Duplessis;X
582111;Head of Government;Maurice Duplessis;1936;1964;1999;SC;Silent Workhorse;High;Maurice_Duplessis;X
582112;Foreign Minister;Antonio Barrette;1936;1964;1999;SC;Ideological Crusader;High;Kaiserreich_QUE_Antonio_Barrette;X
582113;Minister of Armament;Jean-Paul Beaulieu;1936;1964;1999;SC;Resource Industrialist;High;MJean-Paul_Beaulieu;X
582114;Minister of Security;Onesime Gagnon;1936;1964;1999;SC;Crime Fighter;High;MOnesime_Gagnon;X
582115;Head of Military Intelligence;Maurice Duplessis;1936;1964;1999;SC;Technical Specialist;High;Maurice_Duplessis;X
582116;Chief of Staff;Paul Sauvé;1936;1964;1999;SC;School of Mass Combat;High;Kaiserreich_QUE_Paul_Sauve;X
582117;Chief of Army;Paul Sauvé;1936;1964;1999;SC;Static Defence Doctrine;High;Kaiserreich_QUE_Paul_Sauve;X
582118;Head of State;Adélard Godbout;1936;1964;1999;ML;Benevolent Gentleman;High;M582002;X
582119;Head of Government;Adélard Godbout;1936;1964;1999;ML;Naive Optimist;High;M582002;X
582120;Foreign Minister;Telesphore-Damien Bouchard;1936;1964;1999;ML;Apologetic Clerk;High;Kaiserreich_QUE_Telesphore_Damien_Bouchard;X
582121;Minister of Armament;Oscar Drouin;1936;1964;1999;ML;Laissez-Faire Capitalist;High;MOscar_Drouin;X
582122;Minister of Security;James Arthur Mathewson;1936;1964;1999;ML;Silent Lawyer;High;MJames_Arthur_Mathewson;X
582123;Head of Military Intelligence;Leon Casgrain;1936;1964;1999;ML;Political Specialist;High;Kaiserreich_QUE_Leon_Casgrain;X
