PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2600;Northern Peru Mining Company;T99110;3;1930;1969;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2601;Compa?ía Minera de La Libertad;T99110;3;1969;1969;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2602;International Petroleum Co.;T99111;3;1930;1969;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2603;Petróleos de Peru S.A.;T99111;3;1969;1969;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2604;Corporación Peruana del Santa;T99112;5;1969;1969;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2605;General Motors del Perú S.A.;T99113;3;1945;1969;vehicle_engineering;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2606;Servicio Central de Artillería;T99114;3;1930;1969;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2607;Servicio Central de Artillería;T99114;4;1969;1969;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2608;César Álvarez Guerra;T99115;3;1930;1969;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2609;Fabrica Nacional Aviones Caproni;T99116;4;1930;1969;fighter_design;munitions;mechanics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2610;cia. de Aviacion Faucett S.A.;T99117;3;1930;1969;aircraft_testing;general_equipment;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2611; Arsenel Navel del Callao;T99118;3;1930;1969;naval_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2612;Arsenel Navel del Callao;T99118;4;1969;1969;naval_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2613;Santiago Antúnez de Mayolo Gomero;T99119;4;1930;1969;nuclear_physics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2614;UNMSM;T99120;3;1930;1969;training;medicine;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2615;Colegio Nuestra Se?ora de Guadalupe;T99121;3;1930;1943;training;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2616;Colegio Nuestra Se?ora de Guadalupe;T99121;4;1943;1969;training;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2617;Colegio Militar del Perú;T99122;3;1930;1969;training;centralized_execution;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2618;Colegio Militar del Perú;T99122;4;1969;1969;training;decentralized_execution;small_unit_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2619;Colegio Militar del Perú;T99122;3;1969;1969;training;centralized_execution;maneuver_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2620;Colegio Militar del Perú;T99122;4;1969;1969;training;centralized_execution;maneuver_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2621;José del Carmen Marín Arista;T99123;4;1939;1969;management;large_unit_tactics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2622;Escuela Central de Aviación Chávez;T99124;3;1930;1969;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2623;Escuela Central de Aviación Chávez;T99124;4;1949;1969;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2624;Escuela Central de Aviación Chávez;T99124;4;1969;1969;piloting;fighter_tactics;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2625;Escuela Superior de Guerra Naval;T99125;3;1930;1969;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2626;Escuela Superior de Guerra Naval;T99125;4;1969;1969;naval_training;seamanship;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
