AZB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9600;Azerbaijani Air Force;T_AZB_AirForce;2;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9601;Kerim Kerimov;T_AZB_Kerim_Kerimov;5;1945;1970;rocketry;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9602;Azerbaijani Central Arsenal;T_AZB_Arsenal;3;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9603;Baku Automobile Plant;T1905;3;1941;1970;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9604;Siemens Gedabey;T_AZB_Siemens_Gedabey;3;1901;1970;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9605;Branobel;T10510;5;1916;1970;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9606;Baku State University;T9602;2;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9607;Azerbaijan Polytechnic Institute;T9600;3;1930;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9608;Sahmid Bey Mehmandarov Naval College;T9605;2;1930;1970;naval_engineering;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9609;Sahmid Bey Mehmandarov College of Air Warfare;T9605;3;1930;1970;bomber_tactics;fighter_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9610;Azlan Vezirov;T9603;3;1936;1970;large_unit_tactics;centralized_execution;infantry_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9611;Khalil Mamedov;T9604;4;1940;1970;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
