IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4000;Aer Lingus;T4007;4;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4022;John Stewart Bell;IRE_TT_JohnStewartBell;7;1956;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4027;Robert Wright & Son Coachbuilders;IRE_TT_Wrightbus;5;1946;1970;technical_efficiency;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4023;John Desmond Bernal;IRE_TT_John_Desmond_Bernal;5;1936;1970;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4001;Short Brothers Ireland;KR Short Brothers;5;1930;1970;aeronautics;bomber_design;munitions;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4020;Guinness;IRE_TT_Guinness;5;1759;1970;management;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4002;Dublin Shipbuilding Yards;T4008;4;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4003;Harland & Wolff;T307;6;1930;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4004;James Mackie & Sons;KR James Mackie & Sons;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4005;Coras Iompair Eireann;KR Coras Iompair Eireann;5;1945;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4029;Eric Dorman-Smith;IRE_TT_Eric Dorman-Smith;5;1944;1970;small_unit_tactics;decentralized_execution;maneuver_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4024;Kathleen Florence Lynn;IRE_TT_Kathleen_Lynn;5;1936;1955;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4021;Roadstone Ltd ;IRE_TT_RELTD;6;1946;1970;mechanics;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4006;Henry George Ferguson;T_IRE_Henry_George_Ferguson;4;1930;1960;aeronautics;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4007;Goulding Chemicals;T4001;4;1930;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4008;Lennox Chemicals;T4002;4;1930;1970;chemistry;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4009;Electricity Supply Board;KR ESB;5;1930;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4010;Maxol;KR Maxol;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4011;Trinity College;KR Trinity College Dublin;3;1930;1970;mathematics;mechanics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4012;Dublin Technical College;T_IRE_Dublin_Technical;3;1930;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4013;Ernest T.S. Walton;T4006;4;1930;1970;mathematics;nuclear_physics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4014;Maritime Institute of Ireland;T4004;3;1930;1970;naval_engineering;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4015;Irish Air Corps;T4005;3;1930;1970;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4016;James Fitzmaurice;KR James Fitzmaurice;5;1930;1970;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4017;Curragh Military College;T4003;4;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4025;Raidió Teilifís Éireann;IRE_TT_Raidió Teilifís Éireann;4;1930;1970;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4018;Seán Mac Eoin;T_IRE_Sean_Mac_Eoin;4;1930;1958;large_unit_tactics;centralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4019;Tom Barry;KR Tom Barry;5;1930;1962;small_unit_tactics;individual_courage;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
