SPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3900;CASA;T3900;3;1969;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3901;CROS, SA;T3101;2;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3902;Dr. Leret Ruiz;T3902;3;1930;1937;rocketry;mathematics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3903;Esperanza & Unceta;T3103;4;1930;1970;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3904;Fábrica de Armas Unificadas de Catalunya;Kaiserreich_SPR_Fabrica_Armas;4;1930;1970;mechanics;artillery;general_equipment;technical_efficiency;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3905;Buenaventura Durruti;Kaiserreich_EUS_Durruti_TT;4;1930;1970;infantry_focus;large_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3906;Unión Naval de Levante;T3906;4;1930;1937;mechanics;artillery;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3907;Líster Forján;T3907;4;1937;1970;infantry_focus;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3908;Mendiola Núñez;T3908;5;1930;1970;aircraft_testing;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3909;Rojo Lluch;T3909;5;1937;1970;infantry_focus;large_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3910;Asamblea General de la Hispano-Suiza;T3910;5;1930;1970;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3911;Centro de Estudios Químicos;T3911;4;1930;1970;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3912;SECN;T3912;5;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3913;Puig Adam;T3913;4;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3914;Buiza Palacios;T3914;3;1930;1937;naval_training;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3915;González Ubieta;T3915;3;1937;1970;naval_training;large_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3916;Hidalgo de Cisneros;T3916;5;1936;1970;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3917;Compañía Española de Petróleos, SA;T3117;4;1969;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3918;Comisión de Industrias de Guerra;Kaiserreich_SPR_Industrias;4;1930;1970;mechanics;industrial_engineering;general_equipment;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3919;Instituto Químico de Sarriá;T3110;4;1930;1970;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
