ETH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6500;Imperial Gemgiabiet;T6500;1;1930;1970;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6501;Haile Selassie;T6501;3;1930;1970;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6502;Hapte Mikael;T6502;2;1930;1970;large_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6504;Addis Abeba University;T6504;2;1940;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6505;AMB;T10504;2;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6506;Mogadishu Military School;T10401;1;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6507;DPAEB Railway;KYG_TRANSCASPIAN;3;1930;1970;general_equipment;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
6508;Oletta Military Academy;ETH_Oletta;2;1930;1970;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6509;Ethiopian Air Lines;ETH_Air;2;1945;1970;aeronautics;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6510;Melotti Industries Asmara;ETH_Melotti;2;1930;1970;industrial_engineering;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6511;Ogaden Oil;ETH_Oil;3;1969;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6512;Nikkei-Sha;ETH_Nikkei;4;1990;1991;general_equipment;chemistry;mechanics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6513;National Bank of Ethiopia;ETH_NationalBank;2;1930;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6514;Ethiopian Electric Power;T_ETH_Electricity;2;1930;1970;management;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6515;Ethiopian Air Force;T_ETH_Airforce;2;1930;1970;fighter_tactics;aircraft_testing;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6516;German Military Mission;ETH_GermanMission;4;1970;1991;combined_arms_focus;centralized_execution;​decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
