DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
200;Absalon;T200;3;1930;1970;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
201;Atlas A/S;T201;3;1930;1970;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
202;Burmeister & Wain;T202;6;1930;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
203;Niels Bohr;T111;8;1930;1943;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
204;F.L. Smidt;T204;6;1930;1970;mechanics;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205;HF Vaerkstader;T205;3;1930;1970;aeronautics;aircraft_testing;general_equipment;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
206;Dansk Industri Syndikat;T206;4;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
207;Sadolin & Holmblad A/S;T207;3;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
208;Vølund;T208;4;1930;1970;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
209;Carl Hjalf;T209;4;1930;1970;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
210;Vagn Benneke;T210;3;1942;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
211;Karl W. Essemann;T211;3;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
212;E. V. Grandjean;T212;3;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
213;Aage Vedel;T213;4;1942;1970;seamanship;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
214;Hjalmar Rechnitzer;T214;3;1930;1970;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215;Novo Nordisk;T215;6;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
