NZL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9000;Bernard Freyberg;T9000;7;1930;1960;centralized_execution;small_unit_tactics;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9016;Arthur Porritt;NZL_TT_Arthur-Porritt;4;1930;1960;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9014;Charles Elworthy;NZL_TT_Charles_Elworthy;3;1937;1946;individual_courage;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9017;Skellerup;T11;5;1910;2000;industrial_engineering;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9018;Fisher & Paykel;NZL_TT_FisherPaykel;5;1934;2000;industrial_engineering;general_equipment;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9015;Charles Elworthy;NZL_TT_Charles_Elworthy;5;1946;1970;individual_courage;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9013;Ernst Rutherford;NZL_TT_Ernest_Rutherford;4;1930;1960;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001;William Sinclair-Burgess;T9001;5;1930;1938;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9002;Francis Tuker;T9002;5;1941;1960;training;combined_arms_focus;small_unit_tactics;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9004;Roderick Carr;T9004;6;1938;1964;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9005;L.M. Isitt;T9005;5;1930;1942;bomber_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9006;Wellington Arsenal;T313;5;1930;1960;artillery;munitions;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9007;New Zealand Dockyard;T6;4;1930;1960;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9008;General Motors Wellington;T9008;4;1930;1960;artillery;technical_efficiency;mechanics;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9012;Harold Gillies;NZL_TT_Harold_Gillies;5;1910;1960;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9009;de Havilland;T903;7;1930;1970;bomber_design;aeronautics;avionics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9010;University of Otago;T9010;3;1930;1970;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9011;Ford New Zealand;T20502;4;1930;1970;technical_efficiency;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
