UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14000;61 Kommunara Nikolayev Shipyards;T3700;4;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14001;Antonov Design Bureau;T14001;6;1946;1970;aeronautics;bomber_design;general_equipment;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14002;Beriev Design Bureau;T14002;6;1939;1970;aeronautics;fighter_design;aircraft_testing;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14003;German-Ukrainian Agricultural Commission;T3702;7;1930;1970;mechanics;artillery;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14004;Chernomorsky Shipbuilding Yard;T14004;5;1930;1970;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14005;Kharkov Aviation Institute;T14005;6;1930;1970;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14006;Kiev University;T14006;3;1930;1970;management;chemistry;mechanics;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14007;Morozov Design Bureau;T14007;5;1930;1970;mechanics;artillery;technical_efficiency;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14008;Motor-Sich;T14008;5;1930;1970;mechanics;electronics;technical_efficiency;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14010;Kiev Military Academy;T10401;4;1930;1970;large_unit_tactics;combined_arms_focus;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14011;Odessa State Maritime Academy;T14011;4;1930;1970;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14012;Charkov Air Command Center;T10402;4;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14013;Ukranian Factory Committee;T10504;5;1960;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14014;Valentyn P. Hlushko;T14014;6;1941;1970;rocketry;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14015;Anatra;Anatra_KR_TT;6;1913;1960;fighter_design;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
