LAT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2000;Herberts Cukurs;T_LAT_Herberts_Cukurs;3;1937;1970;aeronautics;fighter_design;mechanics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2001;Hans-Joachim von Kruedener;Kaiserreich Kruedener;4;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2002;Irbitis;T2000;4;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2003;Georg Weinblum;kaiserreich weinblum;4;1938;1970;naval_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2004;Noblessner Werft;T_EST_Noblessner;3;1930;1970;naval_engineering;naval_artillery;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2005;Deutsch-Baltische Werft;T_EST_Russo-Baltic_Shipyard;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2006;Reval Arsenal;T2001;4;1930;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2007;Deutsch-Baltische Waggonfabrik;kaissereich deubalt wagon;3;1930;1970;mechanics;electronics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2008;Ford-Vairogs;T_LAT_Ford-Vairogs;3;1936;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2009;AS Franz Krull;T_EST_Franz_Krull;3;1930;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2010;Estnische Steinöl AG;T1200;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2011;Funktechnische Fabrik Reval ;T_EST_REF;4;1930;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2012;Minox GmbH;Kaiserreich Minox;5;1938;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2013;Walter Ostwald;kaiserreich walter ostwald;3;1930;1958;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2014;Wolfgang Ostwald;kaiserreich wolfgang ostwald;4;1930;1943;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2015;Polytechnisches Institut Riga;Kaiserreich Riga Poly;4;1930;1970;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2016;Paul Walden;kaiserreich walden paul;6;1930;1956;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2017;Karl Adolfowitsch Krug;Kaiserreich Krug;6;1930;1952;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2018;Kaiserliche Universität zu Dorpat;Kaiserreich Dorpat;6;1930;1970;mathematics;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2019;Alexander von Salza;Kaiserreich tech von Salza;3;1918;1952;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2033;Hans Adam;T_LAT_Hans_Adam;4;1936;1945;small_taskforce_tactics;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2032;Otto Schniewind;T_LAT_Otto_Schniewind;4;1936;1953;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2020;Wolfgang Lüth;T_LAT_Wolfgang_Luth;5;1945;1970;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2021;Erich Alt;T_GER_Erich_Alt;3;1936;1945;bomber_tactics;centralized_execution;piloting;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2026;Bernhard J.F. Gebauer;T_LAT_Bernhard-Justus_Gebauer;3;1919;1940;aeronautics;mechanics;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2022;Bruno Loerzer;Kaiserreich tech Loerzer;4;1936;1948;fighter_tactics;centralized_execution;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2031;Gerhard Buschmann;T_LAT_Gerhard_Buschmann;4;1948;1970;fighter_tactics;centralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2030;Oskar Dinort;T_LAT_Oskar_Dinort;4;1944;1966;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
